frequency,Z,phase,Z_re,Z_im
1000000.0,517.7096,-53.85537,305.3583,-418.0664
794328.2,608.2409,-54.1076,356.5903,-492.7477
630957.3,714.9756,-53.94249,420.8325,-578.0052
501187.2,839.2467,-53.32972,501.2058,-673.1476
398107.1,981.405,-52.09034,602.9932,-774.3094
316227.7,1141.291,-50.25553,729.701,-877.5425
251188.6,1312.927,-47.93106,879.6929,-974.6372
199526.2,1493.379,-45.31601,1050.138,-1061.786
158489.3,1679.59,-42.63944,1235.559,-1137.725
125892.5,1872.109,-40.01816,1433.738,-1203.823
99999.97,2072.944,-37.40141,1646.746,-1259.096
79432.8,2288.178,-34.772,1879.573,-1304.976
63095.71,2511.313,-31.89567,2132.134,-1326.913
50118.7,2732.684,-28.68603,2397.283,-1311.715
39810.7,2939.269,-25.20912,2659.331,-1251.903
31622.76,3116.05,-21.64901,2896.248,-1149.572
25118.85,3258.21,-18.21619,3094.921,-1018.528
19952.61,3365.835,-15.0757,3249.993,-875.4367
15848.92,3442.459,-12.32528,3363.115,-734.8322
12589.25,3495.051,-9.98539,3442.108,-606.0315
9999.994,3530.996,-8.049241,3496.209,-494.4246
7943.277,3553.96,-6.448916,3531.472,-399.1713
6309.569,3569.46,-5.157674,3555.007,-320.8833
5011.869,3580.279,-4.117543,3571.038,-257.0742
3981.069,3586.036,-3.286415,3580.138,-205.5778
3162.275,3590.454,-2.614586,3586.716,-163.7868
2511.885,3593.616,-2.07722,3591.254,-130.2556
1995.261,3596.116,-1.650067,3594.625,-103.5506
1584.892,3597.066,-1.318328,3596.114,-82.7582
1258.924,3598.45,-1.053282,3597.842,-66.14745
999.9991,3597.094,-0.829179,3596.717,-52.05497
794.3275,3597.116,-0.6587431,3596.879,-41.35598
630.9567,3598.069,-0.5340178,3597.913,-33.53484
501.1867,3597.917,-0.4340566,3597.814,-27.25655
398.1068,3598.357,-0.3580161,3598.287,-22.4844
316.2274,3598.35,-0.2596565,3598.313,-16.30716
251.1884,3598.694,-0.2065787,3598.67,-12.97499
199.526,3596.226,-0.1599617,3596.212,-10.04014
158.4891,3598.42,-0.1272716,3598.411,-7.993191
125.8924,3598.048,-0.1065112,3598.042,-6.688663
99.99988,3595.795,-0.05754364,3595.793,-3.611349
79.43272,3598.898,-0.05924534,3598.896,-3.721354
63.09565,3598.028,-0.04729633,3598.027,-2.970088
50.11866,3600.704,-0.04756476,3600.702,-2.989166
39.81066,3598.061,-0.03269931,3598.06,-2.053452
31.62273,3598.155,-0.02087908,3598.155,-1.311199
25.11883,3597.764,-0.03249046,3597.763,-2.040167
19.95259,3598.033,-0.01849305,3598.033,-1.161317
5.011864,3599.257,-0.00442105,3599.257,-0.2777254
