frequency,Z,phase,Z_re,Z_im
1000000.0,45.15778,-22.37758,41.75718,-17.19195
794328.2,49.01486,-26.37574,43.91241,-21.77514
630957.3,53.77886,-29.8844,46.62802,-26.79541
501187.2,59.50841,-32.85503,49.9898,-32.28423
398107.1,66.19492,-35.30304,54.02213,-38.25411
316227.7,74.05111,-37.19925,58.98451,-44.77046
251188.6,83.26751,-38.44202,65.21825,-51.76927
199526.2,92.56052,-39.47637,71.44625,-58.84627
158489.3,103.2699,-40.25943,78.80795,-66.73811
125892.5,115.0903,-41.11433,86.70892,-75.67921
99999.97,128.7914,-42.07776,95.59361,-86.30807
79432.8,145.3551,-42.99039,106.3226,-99.1141
63095.71,165.6613,-43.55311,120.0607,-114.145
50118.7,190.3452,-43.40109,138.2975,-130.7864
39810.7,219.3624,-42.25209,162.3706,-147.4979
31622.76,251.6456,-40.00133,192.7679,-161.7591
25118.85,285.2414,-36.73264,228.6024,-170.5977
19952.61,317.5457,-32.71982,267.1588,-171.6434
15848.92,345.9867,-28.33613,304.53,-164.2203
12589.25,369.2039,-23.96923,337.3652,-149.9876
9999.994,386.9924,-19.89211,363.9025,-131.6742
7943.277,399.7192,-16.27344,383.7045,-112.01
6309.569,408.5649,-13.18409,397.7961,-93.18572
5011.869,414.5796,-10.61366,407.4867,-76.3596
3981.069,418.359,-8.503517,413.7599,-61.86279
3162.275,420.9661,-6.782545,418.02,-49.71671
2511.885,422.6417,-5.412028,420.7577,-39.86243
1995.261,423.6324,-4.298841,422.4406,-31.75487
1584.892,424.3582,-3.430097,423.5979,-25.38966
1258.924,424.7129,-2.723321,424.2332,-20.17939
999.9991,424.9124,-2.167042,424.6085,-16.06721
794.3275,425.2041,-1.728057,425.0107,-12.82233
630.9567,425.3971,-1.386144,425.2726,-10.29053
501.1867,425.445,-1.09831,425.3668,-8.154909
398.1068,425.5224,-0.8635183,425.474,-6.412906
316.2274,425.6259,-0.6936635,425.5947,-5.152804
251.1884,425.5148,-0.5508201,425.4951,-4.090676
199.526,425.5352,-0.4147723,425.524,-3.080483
158.4891,425.7073,-0.3505849,425.6993,-2.604828
125.8924,425.805,-0.2998682,425.7992,-2.22852
99.99988,425.6598,-0.2128666,425.6569,-1.581418
79.43272,425.8108,-0.1762524,425.8088,-1.309871
63.09565,425.7061,-0.1375338,425.7049,-1.021872
50.11866,425.8492,-0.1016737,425.8485,-0.7556861
39.81066,425.8243,-0.1200923,425.8233,-0.8925298
31.62273,425.6709,-0.08086962,425.6705,-0.6008093
25.11883,425.6546,-0.06570499,425.6543,-0.4881271
19.95259,425.7978,-0.04809019,425.7977,-0.3573857
15.84891,425.8284,-0.0298258,425.8284,-0.2216686
12.58923,425.9597,-0.0298714,425.9596,-0.2220759
9.999984,425.771,-0.005911662,425.771,-0.04393018
7.943269,425.9374,-0.05283682,425.9373,-0.3927894
5.011864,425.8155,-0.01781632,425.8155,-0.1324088
1.258923,425.954,-0.002203635,425.954,-0.01638248
