Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 10:43:19 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 0.2003927, 2.222043e-05, , 2.222043e-05, , , , , , , , , , 2, 1
2, 0.1960882, 3.603818e-07, , 2.258081e-05, , , , , , , , , , 2, 4
3, 0.2003927, 4.894082e-08, , 2.262975e-05, 1000000, 0.001286098, 0.002233932, -2.149819e-07, 1.284725e-07, 167.5829, -10291.11, 10292.48, -89.06706, 2, 4
3, 0.2003927, 4.894082e-08, , 2.262975e-05, 794328.2, -0.0004681817, -0.002665904, 1.881062e-07, -4.261917e-08, 686.8421, -14016.72, 14033.54, -87.19466, 2, 4
3, 0.2003927, 4.894082e-08, , 2.262975e-05, 630957.3, 0.002719908, -0.0003750098, 3.074332e-08, 1.448312e-07, 1336.873, -18496.07, 18544.33, -85.86592, 2, 4
4, 0.2004085, 6.451228e-08, , 2.269426e-05, 501187.2, -0.002035463, 0.003096425, -1.355591e-07, -7.299725e-08, 2104.849, -23975.31, 24067.53, -84.98273, 2, 4
4, 0.2004085, 6.451228e-08, , 2.269426e-05, 398107.1, 0.0002133427, -0.003693723, 1.194975e-07, -4.868857e-09, 3039.716, -30786.62, 30936.32, -84.36118, 2, 4
4, 0.2004085, 6.451228e-08, , 2.269426e-05, 316227.7, -0.0002766333, 0.003689651, -9.420494e-08, 3.627368e-09, 4438.023, -38995.32, 39247.06, -83.50716, 2, 4
5, 0.2003927, 8.008465e-08, , 2.277434e-05, 251188.6, -0.003574501, -0.001721372, 2.493436e-08, -7.693754e-08, 6621.239, -48605.62, 49054.53, -82.2427, 2, 4
5, 0.2003927, 8.008465e-08, , 2.277434e-05, 199526.2, -0.003303133, 0.002175918, -4.21256e-08, -4.780363e-08, 8653.153, -61472.61, 62078.65, -81.98744, 2, 4
5, 0.2003927, 8.008465e-08, , 2.277434e-05, 158489.3, 0.002219212, -0.003254921, 4.614726e-08, 2.143317e-08, 12610.23, -76390.21, 77424.04, -80.62635, 2, 4
6, 0.2030574, 3.897384e-09, , 2.277824e-05, 125892.5, -0.003571771, 0.001848499, -2.580868e-08, -3.311802e-08, 17564.37, -94161.95, 95786.11, -79.43384, 2, 5
6, 0.2030574, 3.897384e-09, , 2.277824e-05, 99999.97, -0.002871102, -0.002804167, 1.826717e-08, -2.920854e-08, 24821.36, -113820.1, 116495.1, -77.69781, 2, 5
7, 0.2018591, 3.975339e-08, , 2.2818e-05, 79432.8, 0.0007376427, -0.003946003, 2.791454e-08, -1.75267e-09, 35161.99, -139152.4, 143526.2, -75.81896, 2, 5
7, 0.2018591, 3.975339e-08, , 2.2818e-05, 63095.71, -0.004021836, -0.0002083203, -5.294601e-09, -2.238061e-08, 49073.82, -168092.3, 175109.3, -73.72507, 2, 5
7, 0.2018591, 3.975339e-08, , 2.2818e-05, 50118.7, -0.003132974, -0.002527272, 6.670624e-09, -1.759181e-08, 66560.63, -203331.8, 213948.9, -71.87415, 2, 5
8, 0.2004085, 4.59892e-08, , 2.286399e-05, 39810.7, -0.003123304, -0.002533685, 4.923125e-09, -1.472567e-08, 90980.41, -242516.1, 259020.2, -69.43631, 2, 5
