Experiment:, Characteristic
Start date:, 15 January 2024
Start time:, 11:13:18 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
0.4, -0.3991675, -2.183208e-10, , -8.732831e-11, 1, 8
0.8, -0.3972741, -2.183208e-10, , -1.746566e-10, 1, 8
1.2, -0.3953807, -2.183208e-10, , -2.619849e-10, 1, 8
1.6, -0.3934873, -2.183208e-10, , -3.493132e-10, 1, 8
2, -0.3911206, -2.183208e-10, , -4.366416e-10, 1, 8
2.4, -0.3892272, -2.183208e-10, , -5.239699e-10, 1, 8
2.8, -0.3873338, -2.167566e-10, , -6.106725e-10, 1, 8
3.2, -0.3852826, -2.167566e-10, , -6.973751e-10, 1, 8
3.6, -0.3830737, -2.183208e-10, , -7.847034e-10, 1, 8
4, -0.3811803, -2.167566e-10, , -8.714061e-10, 1, 8
4.4, -0.3792869, -2.167566e-10, , -9.581087e-10, 1, 8
4.8, -0.3772357, -2.167566e-10, , -1.044811e-09, 1, 8
5.2, -0.3753423, -2.151923e-10, , -1.130888e-09, 1, 8
5.6, -0.3732911, -2.151923e-10, , -1.216965e-09, 1, 8
6, -0.3713977, -2.167566e-10, , -1.303668e-09, 1, 8
6.4, -0.3693466, -2.167566e-10, , -1.39037e-09, 1, 8
6.8, -0.3674532, -2.151923e-10, , -1.476447e-09, 1, 8
7.2, -0.365402, -2.151923e-10, , -1.562524e-09, 1, 8
7.6, -0.3633508, -2.151923e-10, , -1.648601e-09, 1, 8
8, -0.3612997, -2.151923e-10, , -1.734678e-09, 1, 8
8.4, -0.3594063, -2.151923e-10, , -1.820755e-09, 1, 8
8.8, -0.3575129, -2.120639e-10, , -1.905581e-09, 1, 8
9.2, -0.3554617, -2.136281e-10, , -1.991032e-09, 1, 8
9.6, -0.3532527, -2.136281e-10, , -2.076483e-09, 1, 8
10, -0.3512016, -2.136281e-10, , -2.161934e-09, 1, 8
10.4, -0.3493082, -2.120639e-10, , -2.24676e-09, 1, 8
10.8, -0.347257, -2.120639e-10, , -2.331585e-09, 1, 8
11.2, -0.3453636, -2.104997e-10, , -2.415785e-09, 1, 8
11.6, -0.3433124, -2.104997e-10, , -2.499985e-09, 1, 8
12, -0.3412613, -2.089354e-10, , -2.583559e-09, 1, 8
12.4, -0.3392101, -2.104997e-10, , -2.667759e-09, 1, 8
12.8, -0.3373167, -2.104997e-10, , -2.751959e-09, 1, 8
13.2, -0.3354233, -2.089354e-10, , -2.835533e-09, 1, 8
13.6, -0.3333721, -2.073712e-10, , -2.918482e-09, 1, 8
14, -0.3316365, -2.089354e-10, , -3.002056e-09, 1, 8
14.4, -0.3294276, -2.089354e-10, , -3.08563e-09, 1, 8
14.8, -0.3273764, -2.089354e-10, , -3.169204e-09, 1, 8
15.2, -0.3251674, -2.073712e-10, , -3.252153e-09, 1, 8
15.6, -0.3231162, -2.073712e-10, , -3.335101e-09, 1, 8
16, -0.3210651, -2.089354e-10, , -3.418675e-09, 1, 8
16.4, -0.3193295, -2.073712e-10, , -3.501624e-09, 1, 8
16.8, -0.3174361, -2.05807e-10, , -3.583947e-09, 1, 8
17.2, -0.3153849, -2.05807e-10, , -3.66627e-09, 1, 8
17.6, -0.3133337, -2.05807e-10, , -3.748592e-09, 1, 8
18, -0.3111248, -2.05807e-10, , -3.830915e-09, 1, 8
18.4, -0.3090736, -2.042428e-10, , -3.912612e-09, 1, 8
18.8, -0.3071802, -2.05807e-10, , -3.994935e-09, 1, 8
19.2, -0.305129, -2.05807e-10, , -4.077258e-09, 1, 8
19.6, -0.3029201, -2.05807e-10, , -4.159581e-09, 1, 8
20, -0.3010267, -2.05807e-10, , -4.241903e-09, 1, 8
20.4, -0.2991333, -2.05807e-10, , -4.324226e-09, 1, 8
20.8, -0.2973977, -2.05807e-10, , -4.406549e-09, 1, 8
21.2, -0.2953465, -2.042428e-10, , -4.488246e-09, 1, 8
21.6, -0.2932953, -2.042428e-10, , -4.569943e-09, 1, 8
22, -0.2912441, -2.026786e-10, , -4.651015e-09, 1, 8
22.4, -0.289193, -2.026786e-10, , -4.732086e-09, 1, 8
22.8, -0.2872996, -2.05807e-10, , -4.814409e-09, 1, 8
23.2, -0.2850907, -2.042428e-10, , -4.896106e-09, 1, 8
23.6, -0.283355, -2.042428e-10, , -4.977803e-09, 1, 8
24, -0.2811461, -2.026786e-10, , -5.058875e-09, 1, 8
24.4, -0.2792527, -2.026786e-10, , -5.139946e-09, 1, 8
24.8, -0.2773593, -2.026786e-10, , -5.221017e-09, 1, 8
25.2, -0.2751504, -2.026786e-10, , -5.302089e-09, 1, 8
25.6, -0.2734147, -2.026786e-10, , -5.38316e-09, 1, 8
26, -0.2713636, -2.026786e-10, , -5.464232e-09, 1, 8
26.4, -0.2693124, -2.026786e-10, , -5.545303e-09, 1, 8
26.8, -0.267419, -2.026786e-10, , -5.626374e-09, 1, 8
27.2, -0.2655256, -2.011143e-10, , -5.70682e-09, 1, 8
27.6, -0.2636322, -2.026786e-10, , -5.787891e-09, 1, 8
28, -0.2617388, -2.026786e-10, , -5.868963e-09, 1, 8
28.4, -0.2596877, -2.026786e-10, , -5.950034e-09, 1, 8
28.8, -0.2577943, -2.026786e-10, , -6.031106e-09, 1, 8
29.2, -0.2557431, -2.026786e-10, , -6.112177e-09, 1, 8
29.6, -0.2536919, -2.026786e-10, , -6.193249e-09, 1, 8
30, -0.251483, -2.026786e-10, , -6.27432e-09, 1, 8
30.4, -0.2495896, -2.026786e-10, , -6.355392e-09, 1, 8
30.8, -0.2475384, -1.979859e-10, , -6.434586e-09, 1, 8
31.2, -0.2451716, -1.995501e-10, , -6.514406e-09, 1, 8
31.6, -0.2432783, -1.995501e-10, , -6.594226e-09, 1, 8
32, -0.2412271, -1.995501e-10, , -6.674046e-09, 1, 8
32.4, -0.2382304, -1.995501e-10, , -6.753866e-09, 2, 8
32.8, -0.2360545, -1.964217e-10, , -6.832435e-09, 2, 8
33.2, -0.2341309, -1.964217e-10, , -6.911003e-09, 2, 8
33.6, -0.2321284, -1.979859e-10, , -6.990198e-09, 2, 8
34, -0.2302205, -1.964217e-10, , -7.068766e-09, 2, 8
34.4, -0.2281392, -1.964217e-10, , -7.147335e-09, 2, 8
34.8, -0.2261367, -1.979859e-10, , -7.22653e-09, 2, 8
