Experiment:, BIAS_SCAN
Start date:, 15 January 2024
Start time:, 12:57:49 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
372, 0.5505261, 0.0003021955, , 0.01152243, , , , , , , , , , 1, 1
373, 0.5506839, 0.0003573167, , 0.01187975, 1000000, 0.0009997678, 0.0004849679, 6.284519e-05, 3.484006e-05, 15.44093, -0.8432663, 15.46394, -3.125954, 1, 3
374, 0.5505261, 0.0003596479, , 0.0122394, 794328.2, -0.001824194, 0.001153909, -0.0001223751, 5.404722e-05, 15.95827, -2.381272, 16.13496, -8.486979, 1, 3
374, 0.5505261, 0.0003596479, , 0.0122394, 630957.3, -0.004383376, 0.0004881794, -0.0002577802, -3.085112e-05, 16.54075, -3.873378, 16.98822, -13.17958, 1, 3
374, 0.5505261, 0.0003596479, , 0.0122394, 501187.2, 0.007040148, 0.002064298, 0.0003385077, 0.0002241329, 17.26592, -5.333889, 18.07104, -17.16727, 1, 3
375, 0.5505261, 0.0003602695, , 0.01259967, 398107.1, 0.003881217, -0.004230395, 0.0002650628, -0.0001339803, 18.08836, -6.816922, 19.33026, -20.64982, 1, 3
375, 0.5505261, 0.0003602695, , 0.01259967, 316227.7, 0.0004651781, -0.004809855, 0.0001132775, -0.0002025854, 19.06535, -8.364361, 20.81947, -23.68805, 1, 3
375, 0.5505261, 0.0003602695, , 0.01259967, 251188.6, -0.001717303, 0.004313241, -0.0001533061, 0.0001379583, 20.17904, -9.97596, 22.5103, -26.30652, 1, 3
376, 0.5505261, 0.0003576275, , 0.0129573, 199526.2, 0.004187166, -0.001076571, 0.0001715383, 4.334674e-05, 21.4537, -11.69721, 24.43534, -28.60056, 1, 3
376, 0.5505261, 0.0003576275, , 0.0129573, 158489.3, -0.000971086, -0.004028599, 4.577704e-05, -0.0001489898, 22.87718, -13.5468, 26.58723, -30.63204, 1, 3
376, 0.5505261, 0.0003576275, , 0.0129573, 125892.5, -0.003619561, 0.002017985, -0.0001427857, -8.560365e-06, 24.41454, -15.59667, 28.97112, -32.57155, 1, 3
377, 0.5522617, 0.0004045608, , 0.01336186, 99999.97, 0.003839426, 0.001404978, 7.459061e-05, 0.0001053047, 26.0818, -17.98561, 31.68189, -34.58955, 1, 3
377, 0.5522617, 0.0004045608, , 0.01336186, 79432.8, 0.001650831, 0.00371185, -2.566434e-05, 0.000113483, 27.98722, -20.87629, 34.91567, -36.72008, 1, 3
377, 0.5522617, 0.0004045608, , 0.01336186, 63095.71, -0.002883235, -0.002857476, -1.168998e-05, -0.0001036707, 30.3136, -24.39329, 38.90947, -38.82355, 1, 3
378, 0.5505261, 0.000357783, , 0.01371964, 50118.7, -0.003638939, 0.00176885, -8.90525e-05, -2.33199e-05, 33.37287, -28.60225, 43.95266, -40.59826, 1, 3
378, 0.5505261, 0.000357783, , 0.01371964, 39810.7, -0.003912866, 0.0009890918, -7.120442e-05, -3.703117e-05, 37.56745, -33.42852, 50.28697, -41.66354, 1, 3
378, 0.5505261, 0.000357783, , 0.01371964, 31622.76, -0.003762176, 0.001468966, -6.532054e-05, -2.425102e-05, 43.28082, -38.55709, 57.96446, -41.69652, 1, 3
379, 0.5505261, 0.000357783, , 0.01407742, 25118.85, -0.002105731, -0.003437423, 9.445661e-06, -5.955666e-05, 50.8307, -43.4185, 66.85003, -40.50324, 1, 3
379, 0.5505261, 0.000357783, , 0.01407742, 19952.61, 0.003559915, 0.001876003, 2.148548e-05, 4.799743e-05, 60.21952, -47.21231, 76.52054, -38.09657, 1, 3
379, 0.5505261, 0.000357783, , 0.01407742, 15848.92, 0.003819732, 0.001273974, 2.801246e-05, 3.734308e-05, 70.93152, -49.07913, 86.25568, -34.68024, 1, 3
380, 0.5497372, 0.0003548302, , 0.01443225, 12589.25, 0.002434687, 0.003199216, 4.892711e-06, 4.190396e-05, 82.01226, -48.52584, 95.29306, -30.61238, 1, 3
380, 0.5497372, 0.0003548302, , 0.01443225, 9999.994, -0.004006916, -0.0002519496, -3.377118e-05, -1.941057e-05, 92.40902, -45.65318, 103.071, -26.29093, 1, 3
380, 0.5497372, 0.0003548302, , 0.01443225, 7943.277, -0.003358007, 0.002206049, -3.608087e-05, 7.155027e-06, 101.2134, -41.07065, 109.2289, -22.08646, 1, 3
380, 0.5497372, 0.0003548302, , 0.01443225, 6309.569, 0.001025738, -0.003879281, 1.922034e-05, -2.955702e-05, 108.102, -35.59287, 113.8108, -18.22426, 1, 3
381, 0.5505261, 0.0003562289, , 0.01478848, 5011.869, -0.0004854022, -0.003978112, 4.703321e-06, -3.39111e-05, 113.1482, -30.00712, 117.0595, -14.85304, 1, 3
381, 0.5505261, 0.0003562289, , 0.01478848, 3981.069, 0.003074598, -0.002577019, 2.97099e-05, -1.578139e-05, 116.6487, -24.77761, 119.2512, -11.99209, 1, 3
381, 0.5505261, 0.0003562289, , 0.01478848, 3162.275, 0.003856597, 0.00109121, 2.998257e-05, 1.426126e-05, 119.0132, -20.21401, 120.7176, -9.639516, 1, 3
382, 0.5502105, 0.0003540532, , 0.01514253, 2511.885, -0.003142661, -0.002482521, -2.284984e-05, -2.367961e-05, 120.6037, -16.33835, 121.7054, -7.714969, 1, 3
382, 0.5502105, 0.0003540532, , 0.01514253, 1995.261, 0.001579786, -0.003685632, 1.607609e-05, -2.857094e-05, 121.6097, -13.13303, 122.3168, -6.16367, 1, 3
382, 0.5502105, 0.0003540532, , 0.01514253, 1584.892, -0.002900162, -0.002767141, -2.160531e-05, -2.448305e-05, 122.309, -10.52313, 122.7608, -4.917463, 1, 3
383, 0.5517883, 0.0003666413, , 0.01550918, 1258.924, 0.001805047, -0.003574051, 1.661612e-05, -2.79877e-05, 122.7313, -8.370461, 123.0164, -3.901618, 1, 3
383, 0.5517883, 0.0003666413, , 0.01550918, 999.9991, 0.0003365514, 0.00399562, 9.731225e-07, 3.253686e-05, 123.0022, -6.664909, 123.1827, -3.101554, 1, 3
383, 0.5517883, 0.0003666413, , 0.01550918, 794.3275, 0.003993044, -0.0003259986, 3.246824e-05, -1.251073e-06, 123.187, -5.293869, 123.3007, -2.460728, 1, 3
384, 0.5505261, 0.0003563843, , 0.01586556, 630.9567, 0.003978003, 0.0004584573, 3.209763e-05, 4.812871e-06, 123.3039, -4.205558, 123.3756, -1.953445, 1, 3
384, 0.5505261, 0.0003563843, , 0.01586556, 501.1867, 0.002749558, 0.002918836, 2.16273e-05, 2.424907e-05, 123.366, -3.360325, 123.4118, -1.560275, 1, 3
384, 0.5505261, 0.0003563843, , 0.01586556, 398.1068, -0.002029209, 0.003455184, -1.703401e-05, 2.76168e-05, 123.4623, -2.674074, 123.4913, -1.240777, 1, 3
385, 0.5505261, 0.0003568505, , 0.01622241, 316.2274, -0.003388684, 0.002129051, -2.775426e-05, 1.676856e-05, 123.3985, -2.155897, 123.4174, -1.000913, 1, 3
385, 0.5505261, 0.0003568505, , 0.01622241, 251.1884, -0.003863056, -0.001068252, -3.116674e-05, -9.079848e-06, 123.4554, -1.691049, 123.4669, -0.7847687, 1, 3
385, 0.5505261, 0.0003568505, , 0.01622241, 199.526, -0.003292145, -0.002285432, -2.64573e-05, -1.880174e-05, 123.4666, -1.359026, 123.4741, -0.6306424, 1, 3
386, 0.5505261, 0.0003566951, , 0.01657911, 158.4891, -0.002756453, 0.002901594, -2.251681e-05, 2.329421e-05, 123.5266, -1.07204, 123.5313, -0.4972354, 1, 3
386, 0.5505261, 0.0003566951, , 0.01657911, 125.8924, 0.003956072, 0.000645253, 3.199606e-05, 5.442561e-06, 123.4995, -0.8407422, 123.5023, -0.390044, 1, 3
386, 0.5505261, 0.0003566951, , 0.01657911, 99.99988, 0.003901871, 0.0009082757, 3.154752e-05, 7.525611e-06, 123.5213, -0.675087, 123.5231, -0.3131384, 1, 3
387, 0.5505261, 0.0003562289, , 0.01693534, 79.43272, 0.003999123, 0.0001534061, 3.236316e-05, 1.382077e-06, 123.5473, -0.5359725, 123.5485, -0.2485588, 1, 3
387, 0.5505261, 0.0003562289, , 0.01693534, 63.09565, -0.003137467, 0.00249551, -2.544918e-05, 2.010422e-05, 123.6084, -0.4110521, 123.609, -0.190533, 1, 3
387, 0.5505261, 0.0003562289, , 0.01693534, 50.11866, 0.0026081, 0.003040291, 2.103733e-05, 2.466322e-05, 123.5682, -0.346903, 123.5687, -0.1608507, 1, 3
388, 0.5506839, 0.0003573167, , 0.01729265, 39.81066, 0.001031951, 0.003866826, 8.278805e-06, 3.130336e-05, 123.6009, -0.2773854, 123.6012, -0.1285831, 1, 3
388, 0.5506839, 0.0003573167, , 0.01729265, 31.62273, 0.003684926, -0.001576757, 2.983641e-05, -1.272008e-05, 123.5741, -0.1636973, 123.5742, -0.07589905, 1, 3
