Experiment:, CHARACTERISTIC
Start date:, 15 January 2024
Start time:, 13:11:10 +00:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
0.4, -0.3991675, -1.169368e-09, , -4.677472e-10, 1, 8
0.8, -0.3971163, -1.16624e-09, , -9.34243e-10, 1, 8
1.2, -0.3952229, -1.159983e-09, , -1.398236e-09, 1, 8
1.6, -0.3931718, -1.15529e-09, , -1.860352e-09, 1, 8
2, -0.3911206, -1.152162e-09, , -2.321217e-09, 1, 8
2.4, -0.3892272, -1.147469e-09, , -2.780204e-09, 1, 8
2.8, -0.387176, -1.142776e-09, , -3.237315e-09, 1, 8
3.2, -0.3851248, -1.139648e-09, , -3.693174e-09, 1, 8
3.6, -0.3829159, -1.133391e-09, , -4.14653e-09, 1, 8
4, -0.3810225, -1.130262e-09, , -4.598635e-09, 1, 8
4.4, -0.3792869, -1.127134e-09, , -5.049489e-09, 1, 8
4.8, -0.3772357, -1.122441e-09, , -5.498465e-09, 1, 8
5.2, -0.3753423, -1.117749e-09, , -5.945565e-09, 1, 8
5.6, -0.3731334, -1.113056e-09, , -6.390787e-09, 1, 8
6, -0.37124, -1.109928e-09, , -6.834759e-09, 1, 8
6.4, -0.369031, -1.103671e-09, , -7.276227e-09, 1, 8
6.8, -0.3672954, -1.100542e-09, , -7.716443e-09, 1, 8
7.2, -0.3652442, -1.09585e-09, , -8.154784e-09, 1, 8
7.6, -0.3630353, -1.092721e-09, , -8.591872e-09, 1, 8
8, -0.3611419, -1.088028e-09, , -9.027083e-09, 1, 8
8.4, -0.3592485, -1.083336e-09, , -9.460417e-09, 1, 8
8.8, -0.3573551, -1.080207e-09, , -9.8925e-09, 1, 8
9.2, -0.3553039, -1.077079e-09, , -1.032333e-08, 1, 8
9.6, -0.3532527, -1.072386e-09, , -1.075229e-08, 1, 8
10, -0.3512016, -1.067693e-09, , -1.117936e-08, 1, 8
10.4, -0.3491504, -1.063001e-09, , -1.160456e-08, 1, 8
10.8, -0.347257, -1.059872e-09, , -1.202851e-08, 1, 8
11.2, -0.3453636, -1.056744e-09, , -1.245121e-08, 1, 8
11.6, -0.3433124, -1.053616e-09, , -1.287266e-08, 1, 8
12, -0.3412613, -1.047359e-09, , -1.32916e-08, 1, 8
12.4, -0.3393679, -1.04423e-09, , -1.370929e-08, 1, 8
12.8, -0.3373167, -1.042666e-09, , -1.412636e-08, 1, 8
13.2, -0.3352655, -1.037973e-09, , -1.454155e-08, 1, 8
13.6, -0.3333721, -1.036409e-09, , -1.495611e-08, 1, 8
14, -0.331321, -1.031716e-09, , -1.53688e-08, 1, 8
14.4, -0.3292698, -1.027024e-09, , -1.577961e-08, 1, 8
14.8, -0.3273764, -1.022331e-09, , -1.618854e-08, 1, 8
15.2, -0.3253252, -1.020767e-09, , -1.659685e-08, 1, 8
15.6, -0.323274, -1.01451e-09, , -1.700265e-08, 1, 8
16, -0.3210651, -1.011382e-09, , -1.74072e-08, 1, 8
16.4, -0.3194873, -1.008253e-09, , -1.781051e-08, 1, 8
16.8, -0.3174361, -1.00356e-09, , -1.821193e-08, 1, 8
17.2, -0.3152271, -1.000432e-09, , -1.86121e-08, 1, 8
17.6, -0.3133337, -9.973036e-10, , -1.901102e-08, 1, 8
18, -0.3112825, -9.941752e-10, , -1.940869e-08, 1, 8
18.4, -0.3092314, -9.910466e-10, , -1.980511e-08, 1, 8
18.8, -0.307338, -9.879182e-10, , -2.020028e-08, 1, 8
19.2, -0.305129, -9.847898e-10, , -2.05942e-08, 1, 8
19.6, -0.3032357, -9.785328e-10, , -2.098561e-08, 1, 8
20, -0.3010267, -9.769686e-10, , -2.13764e-08, 1, 8
20.4, -0.2991333, -9.738401e-10, , -2.176593e-08, 1, 8
20.8, -0.2972399, -9.707117e-10, , -2.215422e-08, 1, 8
21.2, -0.295031, -9.675833e-10, , -2.254125e-08, 1, 8
21.6, -0.2931376, -9.628907e-10, , -2.292641e-08, 1, 8
22, -0.2910864, -9.597623e-10, , -2.331031e-08, 1, 8
22.4, -0.289193, -9.550696e-10, , -2.369234e-08, 1, 8
22.8, -0.2871418, -9.519411e-10, , -2.407312e-08, 1, 8
23.2, -0.2847751, -9.472485e-10, , -2.445202e-08, 1, 8
23.6, -0.2828817, -9.456842e-10, , -2.483029e-08, 1, 8
24, -0.2809883, -9.441199e-10, , -2.520794e-08, 1, 8
24.4, -0.2792527, -9.394273e-10, , -2.558371e-08, 1, 8
24.8, -0.2773593, -9.362988e-10, , -2.595823e-08, 1, 8
25.2, -0.2751504, -9.331704e-10, , -2.63315e-08, 1, 8
25.6, -0.273257, -9.284778e-10, , -2.670289e-08, 1, 8
26, -0.2713636, -9.253494e-10, , -2.707303e-08, 1, 8
26.4, -0.2694702, -9.237851e-10, , -2.744254e-08, 1, 8
26.8, -0.267419, -9.190924e-10, , -2.781018e-08, 1, 8
27.2, -0.2652101, -9.15964e-10, , -2.817656e-08, 1, 8
27.6, -0.2634744, -9.143998e-10, , -2.854232e-08, 1, 8
28, -0.2614233, -9.097071e-10, , -2.890621e-08, 1, 8
28.4, -0.2595299, -9.065786e-10, , -2.926884e-08, 1, 8
28.8, -0.2576365, -9.034502e-10, , -2.963022e-08, 1, 8
29.2, -0.2557431, -8.987575e-10, , -2.998972e-08, 1, 8
29.6, -0.2535341, -8.956291e-10, , -3.034797e-08, 1, 8
30, -0.2516407, -8.925006e-10, , -3.070497e-08, 1, 8
30.4, -0.2494318, -8.893722e-10, , -3.106072e-08, 1, 8
30.8, -0.2473806, -8.862437e-10, , -3.141522e-08, 1, 8
31.2, -0.2453294, -8.846796e-10, , -3.176909e-08, 1, 8
31.6, -0.243436, -8.815511e-10, , -3.212171e-08, 1, 8
32, -0.2412271, -8.784227e-10, , -3.247308e-08, 1, 8
32.4, -0.2383093, -8.7373e-10, , -3.282257e-08, 2, 8
32.8, -0.2362279, -8.690373e-10, , -3.317019e-08, 2, 8
33.2, -0.2340836, -8.659089e-10, , -3.351655e-08, 2, 8
33.6, -0.2322388, -8.643447e-10, , -3.386229e-08, 2, 8
34, -0.2302678, -8.627804e-10, , -3.42074e-08, 2, 8
34.4, -0.2282495, -8.565235e-10, , -3.455001e-08, 2, 8
34.8, -0.2261524, -8.549593e-10, , -3.489199e-08, 2, 8
35.2, -0.22415, -8.518308e-10, , -3.523273e-08, 2, 8
35.6, -0.2221948, -8.487024e-10, , -3.557221e-08, 2, 8
36, -0.2201923, -8.440098e-10, , -3.590981e-08, 2, 8
36.4, -0.2182056, -8.408813e-10, , -3.624616e-08, 2, 8
36.8, -0.2162031, -8.393171e-10, , -3.658189e-08, 2, 8
37.2, -0.2142794, -8.361886e-10, , -3.691637e-08, 2, 8
37.6, -0.212277, -8.330602e-10, , -3.724959e-08, 2, 8
38, -0.2102429, -8.283675e-10, , -3.758094e-08, 2, 8
38.4, -0.2082878, -8.252391e-10, , -3.791103e-08, 2, 8
38.8, -0.206301, -8.236749e-10, , -3.82405e-08, 2, 8
39.2, -0.204267, -8.189822e-10, , -3.85681e-08, 2, 8
39.6, -0.2022961, -8.142895e-10, , -3.889381e-08, 2, 8
40, -0.2003094, -8.127253e-10, , -3.92189e-08, 2, 8
40.4, -0.1981492, -8.080326e-10, , -3.954212e-08, 2, 8
40.8, -0.1960994, -8.049042e-10, , -3.986408e-08, 2, 8
41.2, -0.1941915, -8.002115e-10, , -4.018416e-08, 2, 8
41.6, -0.1922679, -7.970831e-10, , -4.050299e-08, 2, 8
42, -0.1902812, -7.955189e-10, , -4.08212e-08, 2, 8
42.4, -0.1881052, -7.923904e-10, , -4.113816e-08, 2, 8
42.8, -0.186087, -7.89262e-10, , -4.145386e-08, 2, 8
43.2, -0.1841003, -7.861335e-10, , -4.176832e-08, 2, 8
43.6, -0.1820662, -7.814409e-10, , -4.208089e-08, 2, 8
44, -0.1800322, -7.798766e-10, , -4.239284e-08, 2, 8
44.4, -0.1779824, -7.736197e-10, , -4.270229e-08, 2, 8
44.8, -0.1761692, -7.720555e-10, , -4.301111e-08, 2, 8
45.2, -0.1741351, -7.689271e-10, , -4.331868e-08, 2, 8
45.6, -0.1721011, -7.673628e-10, , -4.362563e-08, 2, 8
46, -0.1700513, -7.626701e-10, , -4.39307e-08, 2, 8
46.4, -0.1680173, -7.595418e-10, , -4.423451e-08, 2, 8
46.8, -0.1660464, -7.564133e-10, , -4.453708e-08, 2, 8
47.2, -0.1640754, -7.501564e-10, , -4.483714e-08, 2, 8
47.6, -0.1620256, -7.47028e-10, , -4.513595e-08, 2, 8
48, -0.1600704, -7.438995e-10, , -4.543351e-08, 2, 8
48.4, -0.1579418, -7.423353e-10, , -4.573045e-08, 2, 8
48.8, -0.1558132, -7.392068e-10, , -4.602613e-08, 2, 8
49.2, -0.1539053, -7.329499e-10, , -4.631931e-08, 2, 8
49.6, -0.1519817, -7.329499e-10, , -4.661249e-08, 2, 8
50, -0.150058, -7.282573e-10, , -4.690379e-08, 2, 8
50.4, -0.1478663, -7.251288e-10, , -4.719384e-08, 2, 8
50.8, -0.1457535, -7.204362e-10, , -4.748202e-08, 2, 8
51.2, -0.1438613, -7.173078e-10, , -4.776894e-08, 2, 8
51.6, -0.1418431, -7.141793e-10, , -4.805461e-08, 2, 8
52, -0.1399194, -7.094866e-10, , -4.833841e-08, 2, 8
52.4, -0.1379327, -7.047939e-10, , -4.862033e-08, 2, 8
52.8, -0.1359618, -7.001013e-10, , -4.890036e-08, 2, 8
53.2, -0.1339908, -6.969728e-10, , -4.917915e-08, 2, 8
53.6, -0.1320041, -6.907159e-10, , -4.945544e-08, 2, 8
54, -0.1298124, -6.875875e-10, , -4.973048e-08, 2, 8
54.4, -0.1278415, -6.84459e-10, , -5.000426e-08, 2, 8
54.8, -0.1258863, -6.813307e-10, , -5.027679e-08, 2, 8
55.2, -0.1239469, -6.782022e-10, , -5.054807e-08, 2, 8
55.6, -0.1218971, -6.735095e-10, , -5.081748e-08, 2, 8
56, -0.119863, -6.703811e-10, , -5.108563e-08, 2, 8
56.4, -0.1177975, -6.641242e-10, , -5.135128e-08, 2, 8
56.8, -0.1158423, -6.609957e-10, , -5.161568e-08, 2, 8
57.2, -0.1139344, -6.578673e-10, , -5.187882e-08, 2, 8
57.6, -0.1118373, -6.531746e-10, , -5.214009e-08, 2, 8
58, -0.1097876, -6.500461e-10, , -5.240011e-08, 2, 8
58.4, -0.1077062, -6.453535e-10, , -5.265825e-08, 2, 8
58.8, -0.1057037, -6.406609e-10, , -5.291452e-08, 2, 8
59.2, -0.1037013, -6.359682e-10, , -5.31689e-08, 2, 8
59.6, -0.1018407, -6.312755e-10, , -5.342142e-08, 2, 8
60, -0.09960169, -6.250186e-10, , -5.367142e-08, 2, 8
60.4, -0.09767804, -6.218902e-10, , -5.392018e-08, 2, 8
60.8, -0.09569132, -6.171975e-10, , -5.416706e-08, 2, 8
61.2, -0.09389381, -6.109406e-10, , -5.441143e-08, 2, 8
61.6, -0.09192286, -6.093764e-10, , -5.465519e-08, 2, 8
62, -0.08977847, -6.046837e-10, , -5.489706e-08, 2, 8
62.4, -0.08796519, -5.984268e-10, , -5.513643e-08, 2, 8
62.8, -0.08597847, -5.937342e-10, , -5.537392e-08, 2, 8
63.2, -0.08391292, -5.890415e-10, , -5.560954e-08, 2, 8
63.6, -0.08178429, -5.827846e-10, , -5.584265e-08, 2, 8
64, -0.07965567, -5.780919e-10, , -5.607389e-08, 2, 8
64.4, -0.07773202, -5.71835e-10, , -5.630262e-08, 2, 8
64.8, -0.075698, -5.655781e-10, , -5.652885e-08, 2, 8
65.2, -0.07363244, -5.561928e-10, , -5.675133e-08, 2, 8
65.6, -0.07151959, -5.515002e-10, , -5.697193e-08, 2, 8
66, -0.06973784, -5.452432e-10, , -5.719003e-08, 2, 8
66.4, -0.06779843, -5.389864e-10, , -5.740563e-08, 2, 8
66.8, -0.06578018, -5.327295e-10, , -5.761872e-08, 2, 8
67.2, -0.06384076, -5.233441e-10, , -5.782805e-08, 2, 8
67.6, -0.06183828, -5.170873e-10, , -5.803489e-08, 2, 8
68, -0.0599304, -5.092661e-10, , -5.823859e-08, 2, 8
68.4, -0.05792791, -4.998808e-10, , -5.843855e-08, 2, 8
68.8, -0.05597273, -4.920597e-10, , -5.863537e-08, 2, 8
69.2, -0.05390718, -4.826743e-10, , -5.882844e-08, 2, 8
69.6, -0.05182585, -4.73289e-10, , -5.901776e-08, 2, 8
70, -0.04982337, -4.639037e-10, , -5.920332e-08, 2, 8
70.4, -0.04782088, -4.545184e-10, , -5.938513e-08, 2, 8
70.8, -0.04584993, -4.435688e-10, , -5.956255e-08, 2, 8
71.2, -0.04391052, -4.341835e-10, , -5.973622e-08, 2, 8
71.6, -0.04163998, -4.216697e-10, , -5.990489e-08, 2, 8
72, -0.03960596, -4.091559e-10, , -6.006856e-08, 2, 8
72.4, -0.03774539, -3.982064e-10, , -6.022784e-08, 2, 8
72.8, -0.03572713, -3.841283e-10, , -6.038149e-08, 2, 8
73.2, -0.03375618, -3.716146e-10, , -6.053013e-08, 2, 8
73.6, -0.03158025, -3.544081e-10, , -6.06719e-08, 2, 8
74, -0.02970391, -3.403301e-10, , -6.080803e-08, 2, 8
74.4, -0.02771719, -3.246879e-10, , -6.093791e-08, 2, 8
74.8, -0.02568317, -3.106099e-10, , -6.106215e-08, 2, 8
75.2, -0.02349648, -2.918392e-10, , -6.117889e-08, 3, 8
75.6, -0.02140253, -2.715043e-10, , -6.128749e-08, 3, 8
76, -0.01957619, -2.542979e-10, , -6.138921e-08, 3, 8
76.4, -0.01747441, -2.33963e-10, , -6.148279e-08, 3, 8
76.8, -0.01555104, -2.136281e-10, , -6.156824e-08, 3, 8
77.2, -0.01336476, -1.886006e-10, , -6.164368e-08, 3, 8
77.6, -0.01139757, -1.651372e-10, , -6.170974e-08, 3, 8
78, -0.009456987, -1.385454e-10, , -6.176516e-08, 3, 8
78.4, -0.007627518, -1.150821e-10, , -6.181119e-08, 3, 8
78.8, -0.005597732, -8.536188e-11, , -6.184533e-08, 3, 8
79.2, -0.00352256, -5.564163e-11, , -6.186759e-08, 3, 8
79.6, -0.001494425, -2.435718e-11, , -6.187734e-08, 4, 8
80, 0.0003228996, 6.927237e-12, , -6.187457e-08, 4, 8
80.4, 0.002306636, 4.134015e-11, , -6.185802e-08, 4, 8
80.8, 0.004181867, 7.575301e-11, , -6.182773e-08, 3, 8
81.2, 0.006258603, 1.164228e-10, , -6.178116e-08, 3, 8
81.6, 0.008211706, 1.570926e-10, , -6.171832e-08, 3, 8
82, 0.01028062, 2.040193e-10, , -6.163671e-08, 3, 8
82.4, 0.01219147, 2.462533e-10, , -6.153821e-08, 3, 8
82.8, 0.01413361, 2.963084e-10, , -6.141969e-08, 3, 8
83.2, 0.01615714, 3.479277e-10, , -6.128052e-08, 3, 8
83.6, 0.01812433, 4.026756e-10, , -6.111944e-08, 3, 8
84, 0.02012751, 4.62116e-10, , -6.09346e-08, 3, 8
84.4, 0.02203053, 5.199922e-10, , -6.072661e-08, 3, 8
84.8, 0.02403528, 5.856896e-10, , -6.049233e-08, 3, 8
85.2, 0.02611202, 6.560796e-10, , -6.022989e-08, 3, 8
85.6, 0.02809955, 7.311622e-10, , -5.993743e-08, 3, 8
86, 0.03020915, 8.171945e-10, , -5.961055e-08, 3, 8
86.4, 0.03208932, 8.969698e-10, , -5.925176e-08, 2, 8
86.8, 0.0340918, 9.845662e-10, , -5.885794e-08, 2, 8
87.2, 0.0362835, 1.087805e-09, , -5.842282e-08, 2, 8
87.6, 0.03822292, 1.187915e-09, , -5.794765e-08, 2, 8
88, 0.04035155, 1.302104e-09, , -5.742681e-08, 2, 8
