Experiment:, 1N4001_LISSAJOUS
Start date:, Monday, January 15, 2024
Start time:, 10:53:45 AM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
0.0002, -0.002541602, 6.666407e-06, , 6.666407e-10, , , , , , , , , , 0, 0
0.0003, 0.1438314, -8.888077e-06, , -2.22167e-10, , , , , , , , , , 0, 0
0.0004, 0.4001863, 3.777444e-05, , 3.555277e-09, , , , , , , , , , 0, 0
0.0005, 0.4005907, 2.222043e-05, , 5.77732e-09, , , , , , , , , , 0, 0
0.0006, 0.4013993, 3.777444e-05, , 9.554764e-09, , , , , , , , , , 0, 0
0.0007, 0.3997819, 2.222043e-05, , 1.177681e-08, , , , , , , , , , 0, 0
0.0008, 0.4005907, 3.777444e-05, , 1.555425e-08, , , , , , , , , , 0, 0
0.0009, 0.4005907, 2.222043e-05, , 1.777629e-08, , , , , , , , , , 0, 0
0.001, 0.4001863, -8.888077e-06, , 1.688749e-08, , , , , , , , , , 0, 0
0.0011, 0.3997819, 2.222043e-05, , 1.910953e-08, , , , , , , , , , 0, 0
0.0012, 0.4005907, 3.777444e-05, , 2.288697e-08, , , , , , , , , , 0, 0
0.0013, 0.3997819, 6.666407e-06, , 2.355361e-08, , , , , , , , , , 0, 0
0.0014, 0.4005907, 2.222043e-05, , 2.577566e-08, , , , , , , , , , 0, 0
0.0015, 0.4001863, 2.222043e-05, , 2.79977e-08, , , , , , , , , , 0, 0
0.0016, 0.4005907, 2.222043e-05, , 3.021974e-08, , , , , , , , , , 0, 0
0.0017, 0.4001863, 5.332893e-05, , 3.555263e-08, , , , , , , , , , 0, 0
0.0018, 0.4001863, 6.666407e-06, , 3.621927e-08, , , , , , , , , , 0, 0
0.0019, 0.4005907, -3.999611e-05, , 3.221966e-08, , , , , , , , , , 0, 0
0.002, 0.400995, 5.332893e-05, , 3.755256e-08, , , , , , , , , , 0, 0
0.0021, 0.400995, 2.222043e-05, , 3.97746e-08, , , , , , , , , , 0, 0
0.0022, 0.4001863, 6.666407e-06, , 4.044124e-08, , , , , , , , , , 0, 0
0.0023, 0.4001863, 2.222043e-05, , 4.266328e-08, , , , , , , , , , 0, 0
0.0024, 0.4005907, 6.666407e-06, , 4.332992e-08, , , , , , , , , , 0, 0
0.0025, 0.4005907, 2.222043e-05, , 4.555196e-08, , , , , , , , , , 0, 0
0.0026, 0.400995, 6.666407e-06, , 4.621861e-08, , , , , , , , , , 0, 0
0.0027, 0.400995, 6.666407e-06, , 4.688524e-08, , , , , , , , , , 0, 0
0.0028, 0.4005907, 3.777444e-05, , 5.066269e-08, , , , , , , , , , 0, 0
0.0029, 0.4005907, 8.443696e-05, , 5.910639e-08, , , , , , , , , , 0, 0
0.003, 0.4001863, 2.222043e-05, , 6.132843e-08, , , , , , , , , , 0, 0
0.0031, 0.400995, 2.222043e-05, , 6.355047e-08, , , , , , , , , , 0, 0
0.0032, 0.4005907, 5.332893e-05, , 6.888337e-08, , , , , , , , , , 0, 0
0.0033, 0.3997819, 6.888295e-05, , 7.577166e-08, , , , , , , , , , 0, 0
0.0034, 0.4001863, 2.222043e-05, , 7.79937e-08, , , , , , , , , , 0, 0
0.0035, 0.4001863, 2.222043e-05, , 8.021574e-08, , , , , , , , , , 0, 0
0.0036, 0.3997819, 6.666407e-06, , 8.088239e-08, , , , , , , , , , 0, 0
0.0037, 0.4001863, 2.222043e-05, , 8.310442e-08, , , , , , , , , , 0, 0
0.0038, 0.4001863, 2.222043e-05, , 8.532647e-08, , , , , , , , , , 0, 0
0.0039, 0.4005907, 6.888295e-05, , 9.221476e-08, , , , , , , , , , 0, 0
0.004, 0.4001863, 2.222043e-05, , 9.443681e-08, , , , , , , , , , 0, 0
0.0041, 0.4001863, -8.888077e-06, , 9.3548e-08, , , , , , , , , , 0, 0
0.0042, 0.4001863, 3.777444e-05, , 9.732544e-08, , , , , , , , , , 0, 0
0.0043, 0.400995, -8.888077e-06, , 9.643664e-08, , , , , , , , , , 0, 0
0.0044, 0.4005907, 2.222043e-05, , 9.865868e-08, , , , , , , , , , 0, 0
0.0045, 0.4001863, -8.888077e-06, , 9.776987e-08, , , , , , , , , , 0, 0
0.0046, 0.4005907, 6.888295e-05, , 1.046582e-07, , , , , , , , , , 0, 0
0.0047, 0.4001863, 3.777444e-05, , 1.084356e-07, , , , , , , , , , 0, 0
0.0048, 0.4001863, 2.222043e-05, , 1.106577e-07, , , , , , , , , , 0, 0
0.0049, 0.4001863, 6.888295e-05, , 1.175459e-07, , , , , , , , , , 0, 0
0.005, 0.4005907, 6.666407e-06, , 1.182126e-07, , , , , , , , , , 0, 0
0.0051, 0.3997819, -3.999611e-05, , 1.14213e-07, , , , , , , , , , 0, 0
0.0052, 0.3997819, 2.222043e-05, , 1.16435e-07, , , , , , , , , , 0, 0
0.0053, 0.4001863, 3.777444e-05, , 1.202125e-07, , , , , , , , , , 0, 0
0.0054, 0.4001863, 6.888295e-05, , 1.271008e-07, , , , , , , , , , 0, 0
0.0055, 0.4001863, 8.443696e-05, , 1.355445e-07, , , , , , , , , , 0, 0
0.0056, 0.4005907, 6.888295e-05, , 1.424328e-07, , , , , , , , , , 0, 0
0.0057, 0.4005907, 6.666407e-06, , 1.430994e-07, , , , , , , , , , 0, 0
0.0058, 0.4001863, 2.222043e-05, , 1.453214e-07, , , , , , , , , , 0, 0
0.0059, 0.4001863, 6.888295e-05, , 1.522097e-07, , , , , , , , , , 0, 0
