Experiment:, 12-12-2023
Start date:, Tuesday, December 12, 2023
Start time:, 12:21:59 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
1, -1.000477, -1.691431e-06, , -1.691431e-06, 1, 6
2, -0.9856455, -1.686911e-06, , -3.378341e-06, 1, 6
3, -0.9703405, -1.682079e-06, , -5.06042e-06, 1, 6
4, -0.955509, -1.676935e-06, , -6.737355e-06, 1, 6
5, -0.9405197, -1.672415e-06, , -8.40977e-06, 1, 6
6, -0.9256881, -1.667115e-06, , -1.007689e-05, 1, 6
7, -0.9103832, -1.661816e-06, , -1.17387e-05, 1, 6
8, -0.8957094, -1.657296e-06, , -1.3396e-05, 1, 6
9, -0.8807201, -1.652308e-06, , -1.504831e-05, 1, 6
10, -0.8657307, -1.647165e-06, , -1.669547e-05, 1, 6
11, -0.8507414, -1.642177e-06, , -1.833765e-05, 1, 6
12, -0.835752, -1.617417e-06, , -1.995506e-05, 1, 5
13, -0.8198159, -1.63189e-06, , -2.158695e-05, 1, 6
14, -0.8046688, -1.626123e-06, , -2.321308e-05, 1, 6
15, -0.7896795, -1.621135e-06, , -2.483421e-05, 1, 6
16, -0.7745324, -1.615524e-06, , -2.644974e-05, 1, 6
17, -0.7597008, -1.610536e-06, , -2.806027e-05, 1, 6
18, -0.7445537, -1.605081e-06, , -2.966536e-05, 1, 6
19, -0.7298799, -1.599938e-06, , -3.126529e-05, 1, 6
20, -0.7147327, -1.59417e-06, , -3.285947e-05, 1, 6
21, -0.7000589, -1.588871e-06, , -3.444833e-05, 1, 6
22, -0.684754, -1.58326e-06, , -3.603159e-05, 1, 6
23, -0.6696069, -1.577649e-06, , -3.760924e-05, 1, 6
24, -0.6550909, -1.571882e-06, , -3.918113e-05, 1, 6
25, -0.639786, -1.566271e-06, , -4.07474e-05, 1, 6
26, -0.6249545, -1.560659e-06, , -4.230806e-05, 1, 6
27, -0.6098073, -1.554737e-06, , -4.386279e-05, 1, 6
28, -0.5951335, -1.54897e-06, , -4.541176e-05, 1, 6
29, -0.5799864, -1.542735e-06, , -4.69545e-05, 1, 6
30, -0.5648392, -1.536968e-06, , -4.849146e-05, 1, 6
31, -0.5498499, -1.530733e-06, , -5.00222e-05, 1, 6
32, -0.5350183, -1.52481e-06, , -5.154701e-05, 1, 6
33, -0.5198712, -1.518732e-06, , -5.306574e-05, 1, 6
34, -0.5037774, -1.512497e-06, , -5.457823e-05, 1, 6
35, -0.4889458, -1.506262e-06, , -5.60845e-05, 1, 6
36, -0.4739564, -1.500184e-06, , -5.758468e-05, 1, 6
37, -0.4591249, -1.493949e-06, , -5.907863e-05, 1, 6
38, -0.44382, -1.487403e-06, , -6.056604e-05, 1, 6
39, -0.4288306, -1.4807e-06, , -6.204673e-05, 1, 6
40, -0.4141568, -1.474154e-06, , -6.352089e-05, 1, 6
41, -0.3988519, -1.467296e-06, , -6.498818e-05, 1, 6
42, -0.3838626, -1.46075e-06, , -6.644893e-05, 1, 6
43, -0.3688732, -1.453736e-06, , -6.790267e-05, 1, 6
44, -0.3540416, -1.447189e-06, , -6.934986e-05, 1, 6
45, -0.3392101, -1.440019e-06, , -7.078988e-05, 1, 6
46, -0.3240629, -1.433317e-06, , -7.222319e-05, 1, 6
47, -0.3090736, -1.426147e-06, , -7.364935e-05, 1, 6
48, -0.2940843, -1.418666e-06, , -7.506801e-05, 1, 6
49, -0.2790949, -1.411652e-06, , -7.647966e-05, 1, 6
50, -0.2641056, -1.40417e-06, , -7.788383e-05, 1, 6
51, -0.2488006, -1.396689e-06, , -7.928052e-05, 1, 6
52, -0.2326329, -1.389051e-06, , -8.066957e-05, 2, 6
53, -0.2177641, -1.38157e-06, , -8.205114e-05, 2, 6
54, -0.202706, -1.373309e-06, , -8.342445e-05, 2, 6
55, -0.1876007, -1.365048e-06, , -8.47895e-05, 2, 6
56, -0.1723692, -1.356164e-06, , -8.614566e-05, 2, 6
57, -0.1574688, -1.346812e-06, , -8.749247e-05, 2, 6
58, -0.1423319, -1.336369e-06, , -8.882884e-05, 2, 6
59, -0.1274157, -1.3239e-06, , -9.015275e-05, 2, 6
60, -0.1123104, -1.308313e-06, , -9.146106e-05, 2, 6
61, -0.09722077, -1.286804e-06, , -9.274786e-05, 2, 6
