Experiment:, 12-12-2023
Start date:, Tuesday, December 12, 2023
Start time:, 12:06:41 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
0.5, -1.000319, -1.643112e-06, , -8.215561e-07, 1, 6
1, -0.9927458, -1.640619e-06, , -1.641865e-06, 1, 6
1.5, -0.9853299, -1.638281e-06, , -2.461006e-06, 1, 6
2, -0.9777564, -1.636254e-06, , -3.279133e-06, 1, 6
2.5, -0.9703405, -1.633604e-06, , -4.095935e-06, 1, 6
3, -0.9629248, -1.631267e-06, , -4.911568e-06, 1, 6
3.5, -0.9553512, -1.628617e-06, , -5.725877e-06, 1, 6
4, -0.9477777, -1.626591e-06, , -6.539172e-06, 1, 6
4.5, -0.9406775, -1.624408e-06, , -7.351376e-06, 1, 6
5, -0.9329461, -1.622226e-06, , -8.162489e-06, 1, 6
5.5, -0.9255303, -1.619577e-06, , -8.972278e-06, 1, 6
6, -0.917799, -1.617394e-06, , -9.780975e-06, 1, 6
6.5, -0.9103832, -1.614745e-06, , -1.058835e-05, 1, 6
7, -0.9031252, -1.612251e-06, , -1.139447e-05, 1, 6
7.5, -0.8957094, -1.609445e-06, , -1.21992e-05, 1, 6
8, -0.8879781, -1.607263e-06, , -1.300283e-05, 1, 6
8.5, -0.8807201, -1.604925e-06, , -1.380529e-05, 1, 6
9, -0.8731465, -1.60212e-06, , -1.460635e-05, 1, 6
9.5, -0.8657307, -1.599626e-06, , -1.540616e-05, 1, 6
10, -0.8581572, -1.597444e-06, , -1.620488e-05, 1, 6
10.5, -0.8504258, -1.59495e-06, , -1.700236e-05, 1, 6
11, -0.8434833, -1.592456e-06, , -1.779859e-05, 1, 6
11.5, -0.835752, -1.589962e-06, , -1.859357e-05, 1, 6
12, -0.8272317, -1.587624e-06, , -1.938738e-05, 1, 6
12.5, -0.8198159, -1.58513e-06, , -2.017994e-05, 1, 6
13, -0.8122424, -1.582169e-06, , -2.097103e-05, 1, 6
13.5, -0.8048266, -1.579987e-06, , -2.176102e-05, 1, 6
14, -0.7974108, -1.577025e-06, , -2.254954e-05, 1, 6
14.5, -0.7896795, -1.574687e-06, , -2.333688e-05, 1, 6
15, -0.7821059, -1.572193e-06, , -2.412298e-05, 1, 6
15.5, -0.7746902, -1.569388e-06, , -2.490767e-05, 1, 6
16, -0.7671166, -1.56705e-06, , -2.56912e-05, 1, 6
16.5, -0.7598585, -1.564244e-06, , -2.647332e-05, 1, 6
17, -0.752285, -1.561906e-06, , -2.725427e-05, 1, 6
17.5, -0.7447114, -1.559101e-06, , -2.803382e-05, 1, 6
18, -0.7372956, -1.556607e-06, , -2.881212e-05, 1, 6
18.5, -0.7298799, -1.553645e-06, , -2.958895e-05, 1, 6
19, -0.7223063, -1.551152e-06, , -3.036452e-05, 1, 6
19.5, -0.7147327, -1.548502e-06, , -3.113877e-05, 1, 6
20, -0.7073169, -1.545852e-06, , -3.19117e-05, 1, 6
20.5, -0.6999012, -1.543514e-06, , -3.268346e-05, 1, 6
21, -0.6923276, -1.540553e-06, , -3.345373e-05, 1, 6
21.5, -0.684754, -1.537747e-06, , -3.422261e-05, 1, 6
22, -0.6773382, -1.535098e-06, , -3.499016e-05, 1, 6
22.5, -0.6697647, -1.53198e-06, , -3.575615e-05, 1, 6
23, -0.6625067, -1.529019e-06, , -3.652065e-05, 1, 6
23.5, -0.6549332, -1.526681e-06, , -3.7284e-05, 1, 6
24, -0.6473595, -1.523563e-06, , -3.804578e-05, 1, 6
24.5, -0.6401016, -1.520914e-06, , -3.880624e-05, 1, 6
25, -0.6323702, -1.518108e-06, , -3.956529e-05, 1, 6
25.5, -0.6247966, -1.514991e-06, , -4.032278e-05, 1, 6
26, -0.6173809, -1.512341e-06, , -4.107895e-05, 1, 6
26.5, -0.6098073, -1.509536e-06, , -4.183372e-05, 1, 6
27, -0.6025493, -1.50673e-06, , -4.258709e-05, 1, 6
