Experiment:, 12-12-2023
Start date:, Tuesday, December 12, 2023
Start time:, 11:07:19 AM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
0.666666, -0.4990439, -1.246902e-06, , -8.312672e-07, 1, 6
1.333332, -0.4889458, -1.243473e-06, , -1.660248e-06, 1, 6
1.999998, -0.4791633, -1.239888e-06, , -2.48684e-06, 1, 6
2.666664, -0.4689074, -1.236459e-06, , -3.311145e-06, 1, 6
3.33333, -0.4588093, -1.232874e-06, , -4.13306e-06, 1, 6
3.999996, -0.448869, -1.229601e-06, , -4.952793e-06, 1, 6
4.666662, -0.4389287, -1.22586e-06, , -5.770032e-06, 1, 6
5.333328, -0.4288306, -1.222587e-06, , -6.58509e-06, 1, 6
5.999994, -0.4188903, -1.21869e-06, , -7.397549e-06, 1, 6
6.66666, -0.40895, -1.21495e-06, , -8.207515e-06, 1, 6
7.333326, -0.3991675, -1.211521e-06, , -9.015194e-06, 1, 6
7.999992, -0.3889116, -1.207624e-06, , -9.820276e-06, 1, 6
8.666658, -0.3789713, -1.204195e-06, , -1.062307e-05, 1, 6
9.333324, -0.3688732, -1.200454e-06, , -1.142337e-05, 1, 6
9.99999, -0.3589329, -1.196869e-06, , -1.222129e-05, 1, 6
10.66666, -0.3488348, -1.192817e-06, , -1.30165e-05, 1, 6
11.33332, -0.3390523, -1.18892e-06, , -1.380911e-05, 1, 6
11.99999, -0.329112, -1.184712e-06, , -1.459892e-05, 1, 6
12.66665, -0.3190139, -1.180971e-06, , -1.538623e-05, 1, 6
13.33332, -0.3089158, -1.176918e-06, , -1.617084e-05, 1, 6
13.99999, -0.2989755, -1.172866e-06, , -1.695275e-05, 1, 6
14.66665, -0.2890352, -1.169125e-06, , -1.773217e-05, 1, 6
15.33332, -0.2790949, -1.164917e-06, , -1.850878e-05, 1, 6
15.99998, -0.268839, -1.16102e-06, , -1.928279e-05, 1, 6
16.66665, -0.2590565, -1.156656e-06, , -2.005389e-05, 1, 6
17.33332, -0.2491162, -1.152448e-06, , -2.082219e-05, 1, 6
17.99998, -0.2378362, -1.148395e-06, , -2.158779e-05, 2, 6
18.66665, -0.2278238, -1.144031e-06, , -2.235047e-05, 2, 6
19.33331, -0.2176695, -1.139667e-06, , -2.311025e-05, 2, 6
19.99998, -0.2077201, -1.135302e-06, , -2.386712e-05, 2, 6
20.66665, -0.1975815, -1.130938e-06, , -2.462107e-05, 2, 6
21.33331, -0.1875218, -1.12595e-06, , -2.537171e-05, 2, 6
21.99998, -0.1774148, -1.12143e-06, , -2.611933e-05, 2, 6
22.66664, -0.1674181, -1.116598e-06, , -2.686372e-05, 2, 6
23.33331, -0.1575476, -1.111455e-06, , -2.760469e-05, 2, 6
23.99998, -0.1474879, -1.105688e-06, , -2.834182e-05, 2, 6
24.66664, -0.1374281, -1.099765e-06, , -2.907499e-05, 2, 6
25.33331, -0.1274473, -1.092751e-06, , -2.980349e-05, 2, 6
25.99997, -0.1174979, -1.084334e-06, , -3.052638e-05, 2, 6
26.66664, -0.1072174, -1.074359e-06, , -3.124262e-05, 2, 6
27.33331, -0.09733115, -1.062825e-06, , -3.195117e-05, 2, 6
27.99997, -0.08731872, -1.046147e-06, , -3.26486e-05, 2, 6
28.66664, -0.07721169, -1.025105e-06, , -3.333201e-05, 2, 6
29.3333, -0.06715196, -9.95491e-07, , -3.399566e-05, 2, 6
29.99997, -0.05734451, -9.5481e-07, , -3.46322e-05, 2, 6
30.66664, -0.04753707, -8.985427e-07, , -3.523123e-05, 2, 6
31.3333, -0.0373985, -8.140635e-07, , -3.577394e-05, 2, 6
31.99997, -0.02714956, -6.898387e-07, , -3.623383e-05, 2, 6
32.66663, -0.01701274, -5.118402e-07, , -3.657506e-05, 3, 6
33.3333, -0.006995264, -2.507654e-07, , -3.674224e-05, 3, 6
33.99997, 0.002943962, 1.286113e-07, , -3.665649e-05, 3, 6
34.66663, 0.01293953, 6.895714e-07, , -3.619678e-05, 3, 6
35.3333, 0.02284433, 1.505528e-06, , -3.51931e-05, 3, 6
35.99996, 0.03275156, 2.742984e-06, , -3.336444e-05, 2, 5
36.66663, 0.04285859, 4.55605e-06, , -3.032708e-05, 2, 5
37.3333, 0.05290255, 7.198481e-06, , -2.55281e-05, 2, 5
37.99996, 0.06304112, 1.117694e-05, , -1.807681e-05, 2, 5
38.66663, 0.07305355, 1.70012e-05, , -6.742694e-06, 2, 5
39.33329, 0.08327096, 2.573135e-05, , 1.041152e-05, 2, 5
39.99996, 0.09322032, 3.846519e-05, , 3.605496e-05, 2, 4
40.66663, 0.1030278, 5.685578e-05, , 7.395876e-05, 2, 4
41.33329, 0.1131663, 8.451173e-05, , 0.0001302999, 2, 4
