Experiment:, 12-12-2023
Start date:, Tuesday, December 12, 2023
Start time:, 1:19:50 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
61.33327, -1.000004, -1.866624e-06, , -0.0001029526, 1, 6
61.99994, -0.9897478, -1.863039e-06, , -0.0001041946, 1, 6
62.6666, -0.9799653, -1.85961e-06, , -0.0001054344, 1, 6
63.33327, -0.9700251, -1.855713e-06, , -0.0001066715, 1, 6
63.99994, -0.9602425, -1.852596e-06, , -0.0001079066, 1, 6
64.6666, -0.9501444, -1.848699e-06, , -0.000109139, 1, 6
65.33327, -0.9402041, -1.844958e-06, , -0.000110369, 1, 6
65.99993, -0.930106, -1.841841e-06, , -0.0001115969, 1, 6
66.6666, -0.9201657, -1.837477e-06, , -0.0001128219, 1, 6
67.33327, -0.9102255, -1.834359e-06, , -0.0001140448, 1, 6
67.99993, -0.9002851, -1.830774e-06, , -0.0001152653, 1, 6
68.6666, -0.8903448, -1.82641e-06, , -0.0001164829, 1, 6
69.33326, -0.8805623, -1.823449e-06, , -0.0001176985, 1, 6
69.99993, -0.8704642, -1.819864e-06, , -0.0001189118, 1, 6
70.6666, -0.8605239, -1.815967e-06, , -0.0001201224, 1, 6
71.33326, -0.8504258, -1.811603e-06, , -0.0001213302, 1, 6
71.99993, -0.8406433, -1.808018e-06, , -0.0001225355, 1, 6
72.66659, -0.829914, -1.804745e-06, , -0.0001237387, 1, 6
73.33326, -0.8195004, -1.800225e-06, , -0.0001249388, 1, 6
73.99993, -0.8094023, -1.796796e-06, , -0.0001261367, 1, 6
74.66659, -0.7996198, -1.793055e-06, , -0.000127332, 1, 6
75.33326, -0.7895217, -1.789158e-06, , -0.0001285248, 1, 6
75.99992, -0.7794236, -1.785418e-06, , -0.0001297151, 1, 6
76.66659, -0.7693255, -1.781209e-06, , -0.0001309026, 1, 6
77.33326, -0.759543, -1.777313e-06, , -0.0001320874, 1, 6
77.99992, -0.7492872, -1.773572e-06, , -0.0001332698, 1, 6
78.66659, -0.7396624, -1.769675e-06, , -0.0001344496, 1, 6
79.33325, -0.7294065, -1.765467e-06, , -0.0001356266, 1, 6
79.99992, -0.719624, -1.761414e-06, , -0.0001368009, 1, 6
80.66659, -0.7093681, -1.757518e-06, , -0.0001379725, 1, 6
81.33325, -0.6994278, -1.753309e-06, , -0.0001391414, 1, 6
81.99992, -0.6893297, -1.749568e-06, , -0.0001403078, 1, 6
82.66658, -0.679705, -1.745672e-06, , -0.0001414716, 1, 6
83.33325, -0.6694491, -1.741152e-06, , -0.0001426323, 1, 6
83.99992, -0.6595088, -1.737255e-06, , -0.0001437905, 1, 6
84.66658, -0.6495685, -1.733203e-06, , -0.000144946, 1, 6
85.33325, -0.6396282, -1.728838e-06, , -0.0001460985, 1, 6
85.99991, -0.6293724, -1.72463e-06, , -0.0001472483, 1, 6
86.66658, -0.6195898, -1.720422e-06, , -0.0001483952, 1, 6
87.33325, -0.6094917, -1.716369e-06, , -0.0001495395, 1, 6
87.99991, -0.5995514, -1.711693e-06, , -0.0001506806, 1, 6
88.66658, -0.5892956, -1.707329e-06, , -0.0001518188, 1, 6
89.33324, -0.579513, -1.703276e-06, , -0.0001529543, 1, 6
89.99991, -0.5695727, -1.6986e-06, , -0.0001540867, 1, 6
90.66658, -0.5596324, -1.694392e-06, , -0.0001552163, 1, 6
91.33324, -0.5496921, -1.689872e-06, , -0.0001563429, 1, 6
91.99991, -0.5397518, -1.685664e-06, , -0.0001574667, 1, 6
92.66657, -0.5293382, -1.680832e-06, , -0.0001585872, 1, 6
93.33324, -0.5195556, -1.676312e-06, , -0.0001597048, 1, 6
93.99991, -0.5092998, -1.671792e-06, , -0.0001608193, 1, 6
94.66657, -0.4984127, -1.667271e-06, , -0.0001619308, 1, 6
95.33324, -0.4886302, -1.662751e-06, , -0.0001630393, 1, 6
95.9999, -0.4785321, -1.657919e-06, , -0.0001641446, 1, 6
96.66657, -0.4685918, -1.6534e-06, , -0.0001652468, 1, 6
97.33324, -0.4584937, -1.648723e-06, , -0.000166346, 1, 6
97.9999, -0.4483957, -1.644048e-06, , -0.000167442, 1, 6
98.66657, -0.4384553, -1.639216e-06, , -0.0001685348, 1, 6
99.33323, -0.4283573, -1.63454e-06, , -0.0001696245, 1, 6
99.9999, -0.4185748, -1.629864e-06, , -0.0001707111, 1, 6
100.6666, -0.4083189, -1.625032e-06, , -0.0001717945, 1, 6
101.3332, -0.3983786, -1.6202e-06, , -0.0001728746, 1, 6
101.9999, -0.3882805, -1.615212e-06, , -0.0001739514, 1, 6
102.6666, -0.3783402, -1.610069e-06, , -0.0001750248, 1, 6
103.3332, -0.3683999, -1.605237e-06, , -0.0001760949, 1, 6
103.9999, -0.3583018, -1.600717e-06, , -0.0001771621, 1, 6
104.6666, -0.3485192, -1.595417e-06, , -0.0001782257, 1, 6
105.3332, -0.3387367, -1.590274e-06, , -0.0001792859, 1, 6
105.9999, -0.3286386, -1.585286e-06, , -0.0001803427, 1, 6
106.6666, -0.3188561, -1.579987e-06, , -0.000181396, 1, 6
107.3332, -0.3087581, -1.574532e-06, , -0.0001824457, 1, 6
107.9999, -0.2988177, -1.569855e-06, , -0.0001834923, 1, 6
108.6666, -0.2887197, -1.564556e-06, , -0.0001845353, 1, 6
109.3332, -0.2786216, -1.558477e-06, , -0.0001855743, 1, 6
109.9999, -0.2686813, -1.553645e-06, , -0.0001866101, 1, 6
110.6666, -0.2588987, -1.547878e-06, , -0.000187642, 1, 6
111.3332, -0.2484851, -1.542267e-06, , -0.0001886702, 1, 6
111.9999, -0.2376155, -1.536656e-06, , -0.0001896946, 2, 6
112.6666, -0.2275873, -1.531045e-06, , -0.0001907153, 2, 6
113.3332, -0.2176852, -1.525278e-06, , -0.0001917322, 2, 6
113.9999, -0.2075309, -1.519511e-06, , -0.0001927452, 2, 6
114.6666, -0.1974239, -1.513588e-06, , -0.0001937542, 2, 6
115.3332, -0.1875061, -1.507353e-06, , -0.0001947591, 2, 6
115.9999, -0.1772571, -1.500963e-06, , -0.0001957598, 2, 6
