Experiment:, 12-12-2023
Start date:, Tuesday, December 12, 2023
Start time:, 1:00:17 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
61.33327, -1.000161, -1.810044e-06, , -9.977752e-05, 1, 6
61.99994, -0.9899057, -1.806771e-06, , -0.000100982, 1, 6
62.6666, -0.9799653, -1.803342e-06, , -0.0001021843, 1, 6
63.33327, -0.9700251, -1.799913e-06, , -0.0001033842, 1, 6
63.99994, -0.9602425, -1.796796e-06, , -0.0001045821, 1, 6
64.6666, -0.9499866, -1.793367e-06, , -0.0001057776, 1, 6
65.33327, -0.9400463, -1.789626e-06, , -0.0001069707, 1, 6
65.99993, -0.9299482, -1.785885e-06, , -0.0001081613, 1, 6
66.6666, -0.9201657, -1.782456e-06, , -0.0001093496, 1, 6
67.33327, -0.9100676, -1.778871e-06, , -0.0001105355, 1, 6
67.99993, -0.9004429, -1.775286e-06, , -0.000111719, 1, 6
68.6666, -0.8903448, -1.771857e-06, , -0.0001129003, 1, 6
69.33326, -0.8804045, -1.767961e-06, , -0.0001140789, 1, 6
69.99993, -0.8703064, -1.76422e-06, , -0.0001152551, 1, 6
70.6666, -0.8603661, -1.760635e-06, , -0.0001164288, 1, 6
71.33326, -0.8504258, -1.75705e-06, , -0.0001176002, 1, 6
71.99993, -0.8406433, -1.753465e-06, , -0.0001187692, 1, 6
72.66659, -0.829914, -1.749724e-06, , -0.0001199356, 1, 6
73.33326, -0.8193426, -1.746139e-06, , -0.0001210997, 1, 6
73.99993, -0.8092446, -1.742555e-06, , -0.0001222614, 1, 6
74.66659, -0.7993042, -1.738658e-06, , -0.0001234205, 1, 6
75.33326, -0.7890484, -1.734761e-06, , -0.0001245771, 1, 6
75.99992, -0.7792659, -1.731332e-06, , -0.0001257313, 1, 6
76.66659, -0.7691678, -1.727436e-06, , -0.0001268829, 1, 6
77.33326, -0.7593852, -1.723851e-06, , -0.0001280321, 1, 6
77.99992, -0.7492872, -1.72011e-06, , -0.0001291789, 1, 6
78.66659, -0.7393468, -1.716213e-06, , -0.000130323, 1, 6
79.33325, -0.7294065, -1.712161e-06, , -0.0001314644, 1, 6
79.99992, -0.7194662, -1.707952e-06, , -0.0001326031, 1, 6
80.66659, -0.7092104, -1.7039e-06, , -0.000133739, 1, 6
81.33325, -0.6994278, -1.700159e-06, , -0.0001348724, 1, 6
81.99992, -0.6894875, -1.696262e-06, , -0.0001360033, 1, 6
82.66658, -0.6795472, -1.69221e-06, , -0.0001371314, 1, 6
83.33325, -0.6694491, -1.688313e-06, , -0.000138257, 1, 6
83.99992, -0.6595088, -1.684417e-06, , -0.0001393799, 1, 6
84.66658, -0.6494108, -1.680364e-06, , -0.0001405002, 1, 6
85.33325, -0.6394704, -1.676312e-06, , -0.0001416177, 1, 6
85.99991, -0.6295301, -1.672415e-06, , -0.0001427326, 1, 6
86.66658, -0.6195898, -1.668207e-06, , -0.0001438448, 1, 6
87.33325, -0.6094917, -1.663998e-06, , -0.0001449541, 1, 6
87.99991, -0.5995514, -1.659478e-06, , -0.0001460604, 1, 6
88.66658, -0.5894534, -1.655426e-06, , -0.000147164, 1, 6
89.33324, -0.579513, -1.651061e-06, , -0.0001482647, 1, 6
89.99991, -0.5695727, -1.647009e-06, , -0.0001493627, 1, 6
90.66658, -0.5596324, -1.642645e-06, , -0.0001504579, 1, 6
91.33324, -0.5495343, -1.638592e-06, , -0.0001515502, 1, 6
91.99991, -0.5395941, -1.634228e-06, , -0.0001526397, 1, 6
92.66657, -0.529496, -1.63002e-06, , -0.0001537264, 1, 6
93.33324, -0.5195556, -1.6255e-06, , -0.0001548101, 1, 6
93.99991, -0.509142, -1.620824e-06, , -0.0001558906, 1, 6
94.66657, -0.4984127, -1.616771e-06, , -0.0001569685, 1, 6
95.33324, -0.4884724, -1.611939e-06, , -0.0001580431, 1, 6
95.9999, -0.4786899, -1.607731e-06, , -0.0001591149, 1, 6
96.66657, -0.468434, -1.603055e-06, , -0.0001601836, 1, 6
97.33324, -0.4588093, -1.598691e-06, , -0.0001612494, 1, 6
97.9999, -0.4485534, -1.59417e-06, , -0.0001623122, 1, 6
98.66657, -0.4387709, -1.589495e-06, , -0.0001633718, 1, 6
99.33323, -0.428515, -1.584974e-06, , -0.0001644285, 1, 6
99.9999, -0.4187325, -1.580298e-06, , -0.000165482, 1, 6
100.6666, -0.4087922, -1.575623e-06, , -0.0001665324, 1, 6
101.3332, -0.3985364, -1.570635e-06, , -0.0001675795, 1, 6
101.9999, -0.3885961, -1.565959e-06, , -0.0001686235, 1, 6
102.6666, -0.3784979, -1.561283e-06, , -0.0001696644, 1, 6
103.3332, -0.3685576, -1.556295e-06, , -0.0001707019, 1, 6
103.9999, -0.3586173, -1.551463e-06, , -0.0001717362, 1, 6
104.6666, -0.348677, -1.546787e-06, , -0.0001727674, 1, 6
105.3332, -0.3387367, -1.5418e-06, , -0.0001737952, 1, 6
105.9999, -0.3287964, -1.536656e-06, , -0.0001748197, 1, 6
106.6666, -0.3188561, -1.531668e-06, , -0.0001758408, 1, 6
107.3332, -0.3087581, -1.526681e-06, , -0.0001768586, 1, 6
107.9999, -0.2988177, -1.521537e-06, , -0.0001778729, 1, 6
108.6666, -0.2888774, -1.516238e-06, , -0.0001788838, 1, 6
109.3332, -0.2789371, -1.51125e-06, , -0.0001798913, 1, 6
109.9999, -0.2686813, -1.505951e-06, , -0.0001808952, 1, 6
110.6666, -0.2588987, -1.500807e-06, , -0.0001818958, 1, 6
111.3332, -0.2484851, -1.49504e-06, , -0.0001828925, 1, 6
111.9999, -0.2376155, -1.489741e-06, , -0.0001838856, 2, 6
112.6666, -0.2276661, -1.484285e-06, , -0.0001848751, 2, 6
113.3332, -0.217701, -1.478518e-06, , -0.0001858608, 2, 6
113.9999, -0.2074836, -1.472751e-06, , -0.0001868426, 2, 6
114.6666, -0.1974712, -1.466984e-06, , -0.0001878206, 2, 6
115.3332, -0.1875376, -1.461217e-06, , -0.0001887948, 2, 6
115.9999, -0.177399, -1.455138e-06, , -0.0001897649, 2, 6
116.6666, -0.1673551, -1.448592e-06, , -0.0001907306, 2, 6
117.3332, -0.1574373, -1.44189e-06, , -0.0001916919, 2, 6
117.9999, -0.1475037, -1.434564e-06, , -0.0001926482, 2, 6
118.6665, -0.1374281, -1.426615e-06, , -0.0001935993, 2, 6
119.3332, -0.127463, -1.417419e-06, , -0.0001945442, 2, 6
119.9999, -0.1173402, -1.40682e-06, , -0.0001954821, 2, 6
120.6665, -0.1072805, -1.393883e-06, , -0.0001964114, 2, 6
121.3332, -0.09733115, -1.377829e-06, , -0.0001973299, 2, 6
