Experiment:, 12-12-2023
Start date:, Tuesday, December 12, 2023
Start time:, 12:52:46 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
0.666666, -1.000004, -1.783703e-06, , -1.189134e-06, 1, 6
1.333332, -0.9899057, -1.780586e-06, , -2.37619e-06, 1, 6
1.999998, -0.9799653, -1.777157e-06, , -3.56096e-06, 1, 6
2.666664, -0.9700251, -1.773728e-06, , -4.743444e-06, 1, 6
3.33333, -0.9602425, -1.770454e-06, , -5.923745e-06, 1, 6
3.999996, -0.9501444, -1.767337e-06, , -7.101969e-06, 1, 6
4.666662, -0.9402041, -1.763596e-06, , -8.277699e-06, 1, 6
5.333328, -0.930106, -1.760167e-06, , -9.451142e-06, 1, 6
5.999994, -0.9203235, -1.756894e-06, , -1.06224e-05, 1, 6
6.66666, -0.9102255, -1.753621e-06, , -1.179148e-05, 1, 6
7.333326, -0.9004429, -1.749724e-06, , -1.295796e-05, 1, 6
7.999992, -0.8903448, -1.746451e-06, , -1.412226e-05, 1, 6
8.666658, -0.8807201, -1.74271e-06, , -1.528407e-05, 1, 6
9.333324, -0.8704642, -1.73897e-06, , -1.644338e-05, 1, 6
9.99999, -0.8605239, -1.735696e-06, , -1.760051e-05, 1, 6
10.66666, -0.8505836, -1.732112e-06, , -1.875525e-05, 1, 6
11.33332, -0.8406433, -1.728994e-06, , -1.990791e-05, 1, 6
11.99999, -0.829914, -1.724942e-06, , -2.105787e-05, 1, 6
12.66665, -0.8193426, -1.721357e-06, , -2.220544e-05, 1, 6
13.33332, -0.8092446, -1.71746e-06, , -2.335042e-05, 1, 6
13.99999, -0.7993042, -1.713719e-06, , -2.449289e-05, 1, 6
14.66665, -0.7892061, -1.710134e-06, , -2.563298e-05, 1, 6
15.33332, -0.7792659, -1.706238e-06, , -2.677047e-05, 1, 6
15.99998, -0.7691678, -1.702653e-06, , -2.790557e-05, 1, 6
16.66665, -0.7593852, -1.698912e-06, , -2.903818e-05, 1, 6
17.33332, -0.7494449, -1.69486e-06, , -3.016809e-05, 1, 6
17.99998, -0.7393468, -1.691431e-06, , -3.129571e-05, 1, 6
18.66665, -0.7294065, -1.687222e-06, , -3.242052e-05, 1, 6
19.33331, -0.719624, -1.683637e-06, , -3.354294e-05, 1, 6
19.99998, -0.7096837, -1.679585e-06, , -3.466267e-05, 1, 6
20.66665, -0.6997434, -1.675532e-06, , -3.577969e-05, 1, 6
21.33331, -0.6894875, -1.671636e-06, , -3.689411e-05, 1, 6
21.99998, -0.679705, -1.667739e-06, , -3.800593e-05, 1, 6
22.66664, -0.6694491, -1.663842e-06, , -3.911516e-05, 1, 6
23.33331, -0.6595088, -1.65979e-06, , -4.022169e-05, 1, 6
23.99998, -0.6494108, -1.655737e-06, , -4.132551e-05, 1, 6
24.66664, -0.6394704, -1.651997e-06, , -4.242684e-05, 1, 6
25.33331, -0.6292146, -1.647788e-06, , -4.352536e-05, 1, 6
25.99997, -0.6194321, -1.644048e-06, , -4.462139e-05, 1, 6
26.66664, -0.609334, -1.640151e-06, , -4.571483e-05, 1, 6
27.33331, -0.5995514, -1.635942e-06, , -4.680545e-05, 1, 6
27.99997, -0.5892956, -1.63189e-06, , -4.789338e-05, 1, 6
28.66664, -0.579513, -1.627837e-06, , -4.89786e-05, 1, 6
29.3333, -0.569415, -1.623473e-06, , -5.006092e-05, 1, 6
29.99997, -0.5597902, -1.619577e-06, , -5.114064e-05, 1, 6
30.66664, -0.5496921, -1.614901e-06, , -5.221723e-05, 1, 6
31.3333, -0.5395941, -1.610692e-06, , -5.329103e-05, 1, 6
31.99997, -0.529496, -1.606328e-06, , -5.436191e-05, 1, 6
32.66663, -0.5193979, -1.602275e-06, , -5.543009e-05, 1, 6
33.3333, -0.509142, -1.597755e-06, , -5.649526e-05, 1, 6
33.99997, -0.4984127, -1.593235e-06, , -5.755742e-05, 1, 6
34.66663, -0.4886302, -1.589183e-06, , -5.861688e-05, 1, 6
35.3333, -0.4788477, -1.584663e-06, , -5.967332e-05, 1, 6
35.99996, -0.4687496, -1.580298e-06, , -6.072684e-05, 1, 6
36.66663, -0.4588093, -1.575778e-06, , -6.177736e-05, 1, 6
37.3333, -0.4487112, -1.571102e-06, , -6.282477e-05, 1, 6
37.99996, -0.4386131, -1.566582e-06, , -6.386915e-05, 1, 6
38.66663, -0.428515, -1.562218e-06, , -6.491063e-05, 1, 6
39.33329, -0.4187325, -1.557386e-06, , -6.594889e-05, 1, 6
39.99996, -0.4087922, -1.553022e-06, , -6.698423e-05, 1, 6
40.66663, -0.3986942, -1.54819e-06, , -6.801636e-05, 1, 6
41.33329, -0.3889116, -1.543514e-06, , -6.904537e-05, 1, 6
41.99996, -0.3788135, -1.538215e-06, , -7.007084e-05, 1, 6
