Experiment:, 12-12-2023
Start date:, Tuesday, December 12, 2023
Start time:, 12:18:43 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
0.25, -1.000161, -1.680988e-06, , -4.202469e-07, 1, 6
0.5, -0.9963747, -1.680208e-06, , -8.40299e-07, 1, 6
0.75, -0.9924302, -1.678961e-06, , -1.260039e-06, 1, 6
1, -0.9888011, -1.677715e-06, , -1.679468e-06, 1, 6
1.25, -0.9850144, -1.676779e-06, , -2.098663e-06, 1, 6
1.5, -0.9813854, -1.675532e-06, , -2.517546e-06, 1, 6
1.75, -0.9777564, -1.67413e-06, , -2.936078e-06, 1, 6
2, -0.9739696, -1.673038e-06, , -3.354338e-06, 1, 6
2.25, -0.9701828, -1.671947e-06, , -3.772325e-06, 1, 6
2.5, -0.9667116, -1.671012e-06, , -4.190078e-06, 1, 6
2.75, -0.9629248, -1.669454e-06, , -4.607441e-06, 1, 6
3, -0.9592958, -1.668518e-06, , -5.024571e-06, 1, 6
3.25, -0.9551935, -1.667427e-06, , -5.441428e-06, 1, 6
3.5, -0.9515645, -1.66618e-06, , -5.857973e-06, 1, 6
3.75, -0.9477777, -1.664466e-06, , -6.274089e-06, 1, 6
4, -0.9439909, -1.663375e-06, , -6.689933e-06, 1, 6
4.25, -0.9403619, -1.662284e-06, , -7.105504e-06, 1, 6
4.5, -0.9365751, -1.661193e-06, , -7.520802e-06, 1, 6
4.75, -0.9326305, -1.659634e-06, , -7.935711e-06, 1, 6
5, -0.9288437, -1.659011e-06, , -8.350463e-06, 1, 6
5.25, -0.9253725, -1.657608e-06, , -8.764865e-06, 1, 6
5.5, -0.921428, -1.656049e-06, , -9.178877e-06, 1, 6
5.75, -0.917799, -1.65527e-06, , -9.592695e-06, 1, 6
6, -0.9140122, -1.654023e-06, , -1.00062e-05, 1, 6
6.25, -0.9103832, -1.652464e-06, , -1.041932e-05, 1, 6
6.5, -0.9067542, -1.651373e-06, , -1.083216e-05, 1, 6
6.75, -0.9029674, -1.649815e-06, , -1.124461e-05, 1, 6
7, -0.8993384, -1.648412e-06, , -1.165672e-05, 1, 6
7.25, -0.8955516, -1.647009e-06, , -1.206847e-05, 1, 6
7.5, -0.8917649, -1.645918e-06, , -1.247995e-05, 1, 6
7.75, -0.8878202, -1.644515e-06, , -1.289108e-05, 1, 6
8, -0.884349, -1.643268e-06, , -1.330189e-05, 1, 6
8.25, -0.8807201, -1.642021e-06, , -1.37124e-05, 1, 6
8.5, -0.8769333, -1.64093e-06, , -1.412263e-05, 1, 6
8.75, -0.8728309, -1.639839e-06, , -1.453259e-05, 1, 6
9, -0.8693597, -1.638748e-06, , -1.494228e-05, 1, 6
9.25, -0.8655729, -1.637501e-06, , -1.535165e-05, 1, 6
9.5, -0.8617862, -1.63641e-06, , -1.576076e-05, 1, 6
9.75, -0.8578416, -1.634696e-06, , -1.616943e-05, 1, 6
10, -0.8542126, -1.633604e-06, , -1.657783e-05, 1, 6
10.25, -0.8504258, -1.632358e-06, , -1.698592e-05, 1, 6
10.5, -0.8467968, -1.631267e-06, , -1.739374e-05, 1, 6
10.75, -0.8431678, -1.63002e-06, , -1.780124e-05, 1, 6
11, -0.839381, -1.628461e-06, , -1.820836e-05, 1, 6
11.25, -0.8354365, -1.627058e-06, , -1.861512e-05, 1, 6
11.5, -0.8318075, -1.625967e-06, , -1.902161e-05, 1, 6
11.75, -0.8272317, -1.624564e-06, , -1.942775e-05, 1, 6
12, -0.8232872, -1.623473e-06, , -1.983362e-05, 1, 6
12.25, -0.8195004, -1.62207e-06, , -2.023914e-05, 1, 6
12.5, -0.8157136, -1.620512e-06, , -2.064427e-05, 1, 6
12.75, -0.8119268, -1.619109e-06, , -2.104905e-05, 1, 6
13, -0.8081401, -1.617862e-06, , -2.145351e-05, 1, 6
13.25, -0.8043533, -1.616927e-06, , -2.185774e-05, 1, 6
13.5, -0.8007243, -1.615524e-06, , -2.226163e-05, 1, 6
13.75, -0.7970953, -1.614277e-06, , -2.266519e-05, 1, 6
14, -0.7931507, -1.61303e-06, , -2.306845e-05, 1, 6
14.25, -0.7896795, -1.611627e-06, , -2.347136e-05, 1, 6
14.5, -0.7858927, -1.610225e-06, , -2.387391e-05, 1, 6
14.75, -0.7822637, -1.609289e-06, , -2.427624e-05, 1, 6
15, -0.7786347, -1.607575e-06, , -2.467813e-05, 1, 6
15.25, -0.7748479, -1.60664e-06, , -2.507979e-05, 1, 6
15.5, -0.7709033, -1.605237e-06, , -2.54811e-05, 1, 6
15.75, -0.7672743, -1.603678e-06, , -2.588202e-05, 1, 6
16, -0.7634876, -1.602275e-06, , -2.628259e-05, 1, 6
16.25, -0.7598585, -1.600873e-06, , -2.668281e-05, 1, 6
16.5, -0.7560718, -1.599626e-06, , -2.708271e-05, 1, 6
16.75, -0.7524428, -1.598379e-06, , -2.748231e-05, 1, 6
17, -0.748656, -1.59682e-06, , -2.788151e-05, 1, 6
17.25, -0.7447114, -1.595573e-06, , -2.828041e-05, 1, 6
17.5, -0.7412403, -1.59417e-06, , -2.867895e-05, 1, 6
17.75, -0.7372956, -1.592924e-06, , -2.907718e-05, 1, 6
18, -0.7335089, -1.591677e-06, , -2.94751e-05, 1, 6
18.25, -0.7297221, -1.589806e-06, , -2.987255e-05, 1, 6
18.5, -0.7259353, -1.588404e-06, , -3.026965e-05, 1, 6
18.75, -0.7223063, -1.587001e-06, , -3.06664e-05, 1, 6
19, -0.7186773, -1.585754e-06, , -3.106284e-05, 1, 6
19.25, -0.7147327, -1.584507e-06, , -3.145897e-05, 1, 6
19.5, -0.7111037, -1.582948e-06, , -3.18547e-05, 1, 6
19.75, -0.7073169, -1.58139e-06, , -3.225005e-05, 1, 6
20, -0.703688, -1.579987e-06, , -3.264505e-05, 1, 6
