Experiment:, 12-12-2023
Start date:, Tuesday, December 12, 2023
Start time:, 12:42:17 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
0.666666, -0.9913257, -1.75066e-06, , -1.167105e-06, 1, 6
1.333332, -0.9815432, -1.747075e-06, , -2.33182e-06, 1, 6
1.999998, -0.9716029, -1.743334e-06, , -3.494042e-06, 1, 6
2.666664, -0.9616626, -1.740372e-06, , -4.654289e-06, 1, 6
3.33333, -0.9515645, -1.736787e-06, , -5.812146e-06, 1, 6
3.999996, -0.9417819, -1.733514e-06, , -6.967821e-06, 1, 6
4.666662, -0.9316838, -1.730085e-06, , -8.12121e-06, 1, 6
5.333328, -0.9217436, -1.7265e-06, , -9.272209e-06, 1, 6
5.999994, -0.9118032, -1.723227e-06, , -1.042103e-05, 1, 6
6.66666, -0.9018629, -1.719954e-06, , -1.156766e-05, 1, 6
7.333326, -0.8917649, -1.716525e-06, , -1.271201e-05, 1, 6
7.999992, -0.8818246, -1.713096e-06, , -1.385407e-05, 1, 6
8.666658, -0.872042, -1.709511e-06, , -1.499375e-05, 1, 6
9.333324, -0.8619439, -1.705614e-06, , -1.613082e-05, 1, 6
9.99999, -0.8518459, -1.702185e-06, , -1.726561e-05, 1, 6
10.66666, -0.8419055, -1.699068e-06, , -1.839832e-05, 1, 6
11.33332, -0.8318075, -1.695171e-06, , -1.952843e-05, 1, 6
11.99999, -0.8209204, -1.691587e-06, , -2.065616e-05, 1, 6
12.66665, -0.8108224, -1.687846e-06, , -2.178138e-05, 1, 6
13.33332, -0.800882, -1.684417e-06, , -2.290433e-05, 1, 6
13.99999, -0.7906262, -1.681143e-06, , -2.402509e-05, 1, 6
14.66665, -0.7808437, -1.677247e-06, , -2.514325e-05, 1, 6
15.33332, -0.7709033, -1.673662e-06, , -2.625903e-05, 1, 6
15.99998, -0.760963, -1.670077e-06, , -2.737241e-05, 1, 6
16.66665, -0.7510228, -1.66618e-06, , -2.84832e-05, 1, 6
17.33332, -0.7410824, -1.662128e-06, , -2.959128e-05, 1, 6
17.99998, -0.7309843, -1.658543e-06, , -3.069697e-05, 1, 6
18.66665, -0.721044, -1.655114e-06, , -3.180038e-05, 1, 6
19.33331, -0.7107882, -1.651685e-06, , -3.290151e-05, 1, 6
19.99998, -0.7010056, -1.647632e-06, , -3.399992e-05, 1, 6
20.66665, -0.6910653, -1.643424e-06, , -3.509554e-05, 1, 6
21.33331, -0.681125, -1.639683e-06, , -3.618866e-05, 1, 6
21.99998, -0.6710269, -1.635942e-06, , -3.727929e-05, 1, 6
22.66664, -0.6610866, -1.63189e-06, , -3.836722e-05, 1, 6
23.33331, -0.6511464, -1.627993e-06, , -3.945254e-05, 1, 6
23.99998, -0.641206, -1.623629e-06, , -4.053496e-05, 1, 6
24.66664, -0.6311079, -1.619732e-06, , -4.161478e-05, 1, 6
25.33331, -0.6211677, -1.615524e-06, , -4.269179e-05, 1, 6
25.99997, -0.6109118, -1.612251e-06, , -4.376663e-05, 1, 6
26.66664, -0.6009715, -1.607887e-06, , -4.483855e-05, 1, 6
27.33331, -0.5908734, -1.60399e-06, , -4.590788e-05, 1, 6
27.99997, -0.5809331, -1.599782e-06, , -4.69744e-05, 1, 6
28.66664, -0.5709928, -1.595729e-06, , -4.803822e-05, 1, 6
29.3333, -0.5612102, -1.591677e-06, , -4.909933e-05, 1, 6
29.99997, -0.5509544, -1.587624e-06, , -5.015775e-05, 1, 6
30.66664, -0.5413296, -1.583416e-06, , -5.121336e-05, 1, 6
31.3333, -0.5307582, -1.578896e-06, , -5.226595e-05, 1, 6
31.99997, -0.5209756, -1.574687e-06, , -5.331574e-05, 1, 6
32.66663, -0.5110354, -1.570479e-06, , -5.436273e-05, 1, 6
33.3333, -0.5001484, -1.566426e-06, , -5.540701e-05, 1, 6
33.99997, -0.4903658, -1.561906e-06, , -5.644828e-05, 1, 6
34.66663, -0.48011, -1.557542e-06, , -5.748664e-05, 1, 6
35.3333, -0.4700119, -1.553022e-06, , -5.852199e-05, 1, 6
35.99996, -0.4600716, -1.548814e-06, , -5.955453e-05, 1, 6
36.66663, -0.4501313, -1.544605e-06, , -6.058427e-05, 1, 6
37.3333, -0.4398754, -1.539929e-06, , -6.161088e-05, 1, 6
37.99996, -0.4300929, -1.535253e-06, , -6.263438e-05, 1, 6
38.66663, -0.4201526, -1.531045e-06, , -6.365508e-05, 1, 6
39.33329, -0.4100545, -1.526369e-06, , -6.467266e-05, 1, 6
39.99996, -0.4001142, -1.521849e-06, , -6.568722e-05, 1, 6
40.66663, -0.3901739, -1.517485e-06, , -6.669888e-05, 1, 6
41.33329, -0.3802336, -1.512653e-06, , -6.770731e-05, 1, 6
41.99996, -0.3702933, -1.507977e-06, , -6.871263e-05, 1, 6
42.66662, -0.3603529, -1.503457e-06, , -6.971494e-05, 1, 6
43.33329, -0.3504126, -1.498313e-06, , -7.071381e-05, 1, 6
43.99996, -0.3403146, -1.493637e-06, , -7.170957e-05, 1, 6
44.66662, -0.3302165, -1.488961e-06, , -7.270221e-05, 1, 6
45.33329, -0.3202762, -1.483662e-06, , -7.369131e-05, 1, 6
45.99995, -0.3101781, -1.47883e-06, , -7.46772e-05, 1, 6
46.66662, -0.3003955, -1.474154e-06, , -7.565997e-05, 1, 6
47.33329, -0.2904553, -1.469166e-06, , -7.663941e-05, 1, 6
47.99995, -0.2801994, -1.464023e-06, , -7.761543e-05, 1, 6
48.66662, -0.2701013, -1.459035e-06, , -7.858811e-05, 1, 6
49.33328, -0.260161, -1.453736e-06, , -7.955727e-05, 1, 6
49.99995, -0.2502207, -1.448748e-06, , -8.05231e-05, 1, 6
50.66662, -0.2382304, -1.444851e-06, , -8.148633e-05, 2, 6
51.33328, -0.2292271, -1.437993e-06, , -8.2445e-05, 2, 6
51.99995, -0.2192305, -1.43285e-06, , -8.340023e-05, 2, 6
52.66661, -0.209155, -1.427239e-06, , -8.435172e-05, 2, 6
53.33328, -0.1991899, -1.421627e-06, , -8.529947e-05, 2, 6
53.99995, -0.1891459, -1.416016e-06, , -8.624348e-05, 2, 6
54.66661, -0.1789285, -1.409782e-06, , -8.718333e-05, 2, 6
55.33328, -0.1689791, -1.403703e-06, , -8.811913e-05, 2, 6
55.99994, -0.1590771, -1.397312e-06, , -8.905067e-05, 2, 6
56.66661, -0.1491277, -1.390454e-06, , -8.997764e-05, 2, 6
57.33328, -0.1389576, -1.382817e-06, , -9.089952e-05, 2, 6
57.99994, -0.1288506, -1.373932e-06, , -9.181547e-05, 2, 6
58.66661, -0.1188697, -1.363957e-06, , -9.272477e-05, 2, 6
59.33327, -0.1088888, -1.3518e-06, , -9.362597e-05, 2, 6
59.99994, -0.09904981, -1.336992e-06, , -9.45173e-05, 2, 6
