Experiment:, LINEAR
Start date:, Friday, December 15, 2023
Start time:, 2:37:35 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
0.666666, -1.99293, -1.5644e-06, , -1.042932e-06, 1, 6
1.333332, -1.982989, -1.561127e-06, , -2.083683e-06, 1, 6
1.999998, -1.973049, -1.558477e-06, , -3.122666e-06, 1, 6
2.666664, -1.962951, -1.556919e-06, , -4.160611e-06, 1, 6
3.33333, -1.953169, -1.554737e-06, , -5.197101e-06, 1, 6
3.999996, -1.943228, -1.553022e-06, , -6.232448e-06, 1, 6
4.666662, -1.933288, -1.550528e-06, , -7.266132e-06, 1, 6
5.333328, -1.922874, -1.547878e-06, , -8.29805e-06, 1, 6
5.999994, -1.913092, -1.546632e-06, , -9.329136e-06, 1, 6
6.66666, -1.902836, -1.544761e-06, , -1.035898e-05, 1, 6
7.333326, -1.892895, -1.54367e-06, , -1.138809e-05, 1, 6
7.999992, -1.882797, -1.540085e-06, , -1.241481e-05, 1, 6
8.666658, -1.873015, -1.538838e-06, , -1.34407e-05, 1, 6
9.333324, -1.862917, -1.5365e-06, , -1.446503e-05, 1, 6
9.99999, -1.852977, -1.534162e-06, , -1.548781e-05, 1, 6
10.66666, -1.842878, -1.533227e-06, , -1.650996e-05, 1, 6
11.33332, -1.83278, -1.529954e-06, , -1.752993e-05, 1, 6
11.99999, -1.82284, -1.528084e-06, , -1.854865e-05, 1, 6
12.66665, -1.8129, -1.525745e-06, , -1.956581e-05, 1, 6
13.33332, -1.802802, -1.523563e-06, , -2.058152e-05, 1, 6
13.99999, -1.793019, -1.521537e-06, , -2.159588e-05, 1, 6
14.66665, -1.781974, -1.519355e-06, , -2.260878e-05, 1, 6
15.33332, -1.772034, -1.517485e-06, , -2.362043e-05, 1, 6
15.99998, -1.762094, -1.515303e-06, , -2.463063e-05, 1, 6
16.66665, -1.751996, -1.514056e-06, , -2.564e-05, 1, 6
17.33332, -1.741898, -1.511718e-06, , -2.664781e-05, 1, 6
17.99998, -1.731957, -1.509536e-06, , -2.765417e-05, 1, 6
18.66665, -1.722333, -1.507353e-06, , -2.865907e-05, 1, 6
19.33331, -1.712077, -1.505327e-06, , -2.966262e-05, 1, 6
19.99998, -1.701979, -1.503145e-06, , -3.066472e-05, 1, 6
20.66665, -1.692038, -1.500339e-06, , -3.166494e-05, 1, 6
21.33331, -1.68194, -1.499248e-06, , -3.266444e-05, 1, 6
21.99998, -1.672, -1.496131e-06, , -3.366186e-05, 1, 6
22.66664, -1.661902, -1.49504e-06, , -3.465855e-05, 1, 6
23.33331, -1.651961, -1.49239e-06, , -3.565348e-05, 1, 6
23.99998, -1.641863, -1.489273e-06, , -3.664633e-05, 1, 6
24.66664, -1.631923, -1.487403e-06, , -3.763793e-05, 1, 6
25.33331, -1.621983, -1.485376e-06, , -3.862818e-05, 1, 6
25.99997, -1.612042, -1.484441e-06, , -3.96178e-05, 1, 6
26.66664, -1.601944, -1.4807e-06, , -4.060494e-05, 1, 6
27.33331, -1.592004, -1.478362e-06, , -4.159051e-05, 1, 6
27.99997, -1.582064, -1.476804e-06, , -4.257504e-05, 1, 6
28.66664, -1.572123, -1.473686e-06, , -4.35575e-05, 1, 6
29.3333, -1.562025, -1.472128e-06, , -4.453892e-05, 1, 6
29.99997, -1.552085, -1.470257e-06, , -4.551909e-05, 1, 6
30.66664, -1.541987, -1.467764e-06, , -4.64976e-05, 1, 6
31.3333, -1.532047, -1.465581e-06, , -4.747465e-05, 1, 6
31.99997, -1.522264, -1.463867e-06, , -4.845056e-05, 1, 6
32.66663, -1.512166, -1.461996e-06, , -4.942522e-05, 1, 6
33.3333, -1.502541, -1.458568e-06, , -5.03976e-05, 1, 6
33.99997, -1.492443, -1.455918e-06, , -5.136821e-05, 1, 6
34.66663, -1.482187, -1.454671e-06, , -5.233799e-05, 1, 6
35.3333, -1.472247, -1.451242e-06, , -5.330548e-05, 1, 6
35.99996, -1.461202, -1.449216e-06, , -5.427163e-05, 1, 6
36.66663, -1.451262, -1.447033e-06, , -5.523632e-05, 1, 6
37.3333, -1.441164, -1.445007e-06, , -5.619965e-05, 1, 6
