Experiment:, SLEW-RATE-VARIATION
Start date:, Friday, December 15, 2023
Start time:, 3:14:47 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
507.6665, -2.002554, -1.5697e-06, , -0.0006805692, 1, 6
507.9999, -1.992772, -1.567673e-06, , -0.0006810918, 1, 6
508.3332, -1.982674, -1.565959e-06, , -0.0006816138, 1, 6
508.6665, -1.972891, -1.564556e-06, , -0.0006821353, 1, 6
508.9999, -1.962793, -1.561906e-06, , -0.000682656, 1, 6
509.3332, -1.953011, -1.559724e-06, , -0.0006831759, 1, 6
509.6665, -1.942755, -1.557386e-06, , -0.000683695, 1, 6
509.9999, -1.932814, -1.55536e-06, , -0.0006842134, 1, 6
510.3332, -1.922874, -1.55271e-06, , -0.000684731, 1, 6
510.6665, -1.912776, -1.55084e-06, , -0.0006852479, 1, 6
510.9999, -1.902678, -1.549125e-06, , -0.0006857643, 1, 6
511.3332, -1.892738, -1.546787e-06, , -0.0006862799, 1, 6
511.6665, -1.88264, -1.545073e-06, , -0.0006867949, 1, 6
511.9999, -1.872857, -1.543203e-06, , -0.0006873093, 1, 6
512.3332, -1.862601, -1.541488e-06, , -0.0006878232, 1, 6
512.6665, -1.852661, -1.539306e-06, , -0.0006883363, 1, 6
512.9999, -1.842563, -1.537435e-06, , -0.0006888487, 1, 6
513.3332, -1.83278, -1.535098e-06, , -0.0006893604, 1, 6
513.6665, -1.822682, -1.533227e-06, , -0.0006898715, 1, 6
513.9999, -1.812584, -1.530733e-06, , -0.0006903817, 1, 6
514.3332, -1.802486, -1.528084e-06, , -0.0006908911, 1, 6
514.6665, -1.792546, -1.526057e-06, , -0.0006913998, 1, 6
514.9999, -1.781659, -1.524499e-06, , -0.0006919079, 1, 6
515.3332, -1.771719, -1.522317e-06, , -0.0006924154, 1, 6
515.6665, -1.761778, -1.519823e-06, , -0.000692922, 1, 6
515.9999, -1.751838, -1.51764e-06, , -0.0006934279, 1, 6
516.3332, -1.741424, -1.515614e-06, , -0.0006939331, 1, 6
516.6665, -1.731642, -1.513588e-06, , -0.0006944377, 1, 6
