Experiment:, SLEW-RATE-VARIATION_LINEAR
Start date:, Friday, December 15, 2023
Start time:, 3:24:39 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
380.6667, -1.994034, -1.570635e-06, , -0.0005100528, 1, 6
381.3333, -1.984252, -1.567829e-06, , -0.000511098, 1, 6
382, -1.974311, -1.565647e-06, , -0.0005121418, 1, 6
382.6667, -1.964056, -1.564088e-06, , -0.0005131845, 1, 6
383.3333, -1.954273, -1.561439e-06, , -0.0005142255, 1, 6
384, -1.944175, -1.559101e-06, , -0.0005152649, 1, 6
384.6667, -1.934392, -1.55801e-06, , -0.0005163035, 1, 6
385.3333, -1.924137, -1.556295e-06, , -0.0005173411, 1, 6
386, -1.914354, -1.554113e-06, , -0.0005183771, 1, 6
386.6667, -1.904098, -1.552087e-06, , -0.0005194119, 1, 6
387.3333, -1.894316, -1.550061e-06, , -0.0005204452, 1, 6
388, -1.88406, -1.547723e-06, , -0.000521477, 1, 6
388.6667, -1.874119, -1.545852e-06, , -0.0005225076, 1, 6
389.3333, -1.864021, -1.54367e-06, , -0.0005235367, 1, 6
390, -1.854081, -1.541488e-06, , -0.0005245644, 1, 6
390.6667, -1.844141, -1.538994e-06, , -0.0005255904, 1, 6
391.3333, -1.8342, -1.536344e-06, , -0.0005266146, 1, 6
392, -1.823945, -1.534786e-06, , -0.0005276378, 1, 6
392.6667, -1.814162, -1.532759e-06, , -0.0005286596, 1, 6
393.3333, -1.804064, -1.530422e-06, , -0.0005296799, 1, 6
394, -1.794124, -1.528239e-06, , -0.0005306987, 1, 6
394.6667, -1.783237, -1.526525e-06, , -0.0005317164, 1, 6
395.3333, -1.772981, -1.524499e-06, , -0.0005327328, 1, 6
396, -1.76304, -1.522161e-06, , -0.0005337475, 1, 6
396.6667, -1.7531, -1.519979e-06, , -0.0005347608, 1, 6
397.3333, -1.74316, -1.517952e-06, , -0.0005357728, 1, 6
398, -1.733062, -1.515303e-06, , -0.000536783, 1, 6
398.6666, -1.723122, -1.513276e-06, , -0.0005377919, 1, 6
399.3333, -1.713339, -1.511562e-06, , -0.0005387996, 1, 6
400, -1.703241, -1.509691e-06, , -0.000539806, 1, 6
400.6666, -1.693143, -1.507042e-06, , -0.0005408107, 1, 6
