Experiment:, 2023-12-15
Start date:, Friday, December 15, 2023
Start time:, 2:22:04 PM +01:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), V Range (), I Range ()
382.6663, -2.00287, -1.565803e-06, , -0.0005112977, 1, 6
383.333, -1.993088, -1.563777e-06, , -0.0005123402, 1, 6
383.9996, -1.982989, -1.561906e-06, , -0.0005133814, 1, 6
384.6663, -1.973049, -1.560348e-06, , -0.0005144217, 1, 6
385.3329, -1.963109, -1.557074e-06, , -0.0005154597, 1, 6
385.9996, -1.953169, -1.554892e-06, , -0.0005164964, 1, 6
386.6663, -1.94307, -1.552866e-06, , -0.0005175316, 1, 6
387.3329, -1.93313, -1.551152e-06, , -0.0005185657, 1, 6
387.9996, -1.923032, -1.548346e-06, , -0.0005195979, 1, 6
388.6663, -1.913092, -1.546476e-06, , -0.0005206289, 1, 6
389.3329, -1.902836, -1.544449e-06, , -0.0005216585, 1, 6
389.9996, -1.893053, -1.542111e-06, , -0.0005226866, 1, 6
390.6663, -1.882955, -1.540241e-06, , -0.0005237134, 1, 6
391.3329, -1.873173, -1.537747e-06, , -0.0005247386, 1, 6
391.9996, -1.862917, -1.535721e-06, , -0.0005257624, 1, 6
392.6663, -1.853134, -1.534006e-06, , -0.0005267851, 1, 6
393.3329, -1.842878, -1.532292e-06, , -0.0005278066, 1, 6
393.9996, -1.833096, -1.529954e-06, , -0.0005288266, 1, 6
394.6663, -1.823156, -1.528395e-06, , -0.0005298455, 1, 6
395.3329, -1.813215, -1.526057e-06, , -0.0005308629, 1, 6
395.9996, -1.802802, -1.523875e-06, , -0.0005318788, 1, 6
396.6663, -1.792861, -1.521693e-06, , -0.0005328932, 1, 6
397.3329, -1.781974, -1.518732e-06, , -0.0005339058, 1, 6
397.9996, -1.772034, -1.51764e-06, , -0.0005349175, 1, 6
398.6663, -1.761936, -1.51577e-06, , -0.000535928, 1, 6
399.3329, -1.751996, -1.513588e-06, , -0.000536937, 1, 6
399.9996, -1.74174, -1.511562e-06, , -0.0005379448, 1, 6
400.6663, -1.731957, -1.509068e-06, , -0.0005389508, 1, 6
401.3329, -1.722017, -1.50673e-06, , -0.0005399553, 1, 6
401.9996, -1.712077, -1.50486e-06, , -0.0005409585, 1, 6
402.6663, -1.702136, -1.502522e-06, , -0.0005419602, 1, 6
403.3329, -1.692038, -1.500184e-06, , -0.0005429604, 1, 6
403.9996, -1.68194, -1.498157e-06, , -0.0005439591, 1, 6
404.6663, -1.671842, -1.496287e-06, , -0.0005449567, 1, 6
405.3329, -1.661902, -1.493949e-06, , -0.0005459526, 1, 6
405.9996, -1.652119, -1.491611e-06, , -0.000546947, 1, 6
406.6663, -1.642179, -1.489896e-06, , -0.0005479403, 1, 6
407.3329, -1.632081, -1.487247e-06, , -0.0005489318, 1, 6
407.9996, -1.621983, -1.485065e-06, , -0.0005499218, 1, 6
408.6663, -1.612042, -1.48335e-06, , -0.0005509107, 1, 6
409.3329, -1.601787, -1.481324e-06, , -0.0005518983, 1, 6
409.9996, -1.592004, -1.479142e-06, , -0.0005528844, 1, 6
410.6663, -1.581906, -1.476804e-06, , -0.0005538689, 1, 6
411.3329, -1.572123, -1.473998e-06, , -0.0005548515, 1, 6
411.9996, -1.562025, -1.472128e-06, , -0.000555833, 1, 6
412.6663, -1.551927, -1.46979e-06, , -0.0005568128, 1, 6
413.3329, -1.541987, -1.467296e-06, , -0.000557791, 1, 6
413.9996, -1.532047, -1.465426e-06, , -0.000558768, 1, 6
414.6663, -1.521949, -1.463399e-06, , -0.0005597436, 1, 6
415.3329, -1.512166, -1.46075e-06, , -0.0005607174, 1, 6
415.9996, -1.502226, -1.458256e-06, , -0.0005616896, 1, 6
416.6663, -1.492443, -1.45623e-06, , -0.0005626604, 1, 6
417.3329, -1.482345, -1.454203e-06, , -0.0005636298, 1, 6
417.9996, -1.472247, -1.451865e-06, , -0.0005645978, 1, 6
418.6662, -1.461202, -1.449527e-06, , -0.0005655641, 1, 6
419.3329, -1.451104, -1.447813e-06, , -0.0005665293, 1, 6
419.9996, -1.441164, -1.444851e-06, , -0.0005674926, 1, 6
420.6662, -1.431066, -1.442981e-06, , -0.0005684546, 1, 6
421.3329, -1.420968, -1.440175e-06, , -0.0005694146, 1, 6
421.9996, -1.411028, -1.437837e-06, , -0.0005703732, 1, 6
422.6662, -1.400929, -1.435967e-06, , -0.0005713305, 1, 6
423.3329, -1.390989, -1.433785e-06, , -0.0005722864, 1, 6
423.9996, -1.381207, -1.431447e-06, , -0.0005732407, 1, 6
424.6662, -1.371266, -1.429109e-06, , -0.0005741934, 1, 6
425.3329, -1.361326, -1.427083e-06, , -0.0005751448, 1, 6
425.9996, -1.351386, -1.424121e-06, , -0.0005760942, 1, 6
426.6662, -1.341445, -1.421627e-06, , -0.000577042, 1, 6
427.3329, -1.331189, -1.418978e-06, , -0.0005779879, 1, 6
427.9996, -1.321249, -1.416951e-06, , -0.0005789326, 1, 6
428.6662, -1.311151, -1.414613e-06, , -0.0005798757, 1, 6
429.3329, -1.301526, -1.412431e-06, , -0.0005808173, 1, 6
429.9996, -1.291428, -1.410249e-06, , -0.0005817575, 1, 6
430.6662, -1.28133, -1.407444e-06, , -0.0005826958, 1, 6
431.3329, -1.27139, -1.405262e-06, , -0.0005836326, 1, 6
431.9996, -1.26145, -1.402456e-06, , -0.0005845675, 1, 6
432.6662, -1.251194, -1.400274e-06, , -0.0005855011, 1, 6
433.3329, -1.241253, -1.398247e-06, , -0.0005864332, 1, 6
433.9996, -1.231155, -1.395286e-06, , -0.0005873634, 1, 6
434.6662, -1.221373, -1.392948e-06, , -0.000588292, 1, 6
435.3329, -1.211117, -1.390922e-06, , -0.0005892193, 1, 6
435.9996, -1.201177, -1.388428e-06, , -0.0005901449, 1, 6
436.6662, -1.191236, -1.386246e-06, , -0.0005910691, 1, 6
437.3329, -1.181296, -1.383752e-06, , -0.0005919916, 1, 6
437.9996, -1.171198, -1.381258e-06, , -0.0005929124, 1, 6
438.6662, -1.161258, -1.378453e-06, , -0.0005938314, 1, 6
439.3329, -1.151317, -1.376115e-06, , -0.0005947488, 1, 6
439.9996, -1.140588, -1.373621e-06, , -0.0005956645, 1, 6
440.6662, -1.130332, -1.371283e-06, , -0.0005965788, 1, 6
441.3329, -1.12055, -1.368789e-06, , -0.0005974913, 1, 6
441.9996, -1.110451, -1.366607e-06, , -0.0005984023, 1, 6
442.6662, -1.100511, -1.364113e-06, , -0.0005993118, 1, 6
443.3329, -1.090729, -1.361775e-06, , -0.0006002196, 1, 6
443.9996, -1.080788, -1.359437e-06, , -0.0006011259, 1, 6
444.6662, -1.070533, -1.356476e-06, , -0.0006020302, 1, 6
445.3329, -1.060592, -1.353982e-06, , -0.0006029329, 1, 6
445.9996, -1.050494, -1.351488e-06, , -0.0006038339, 1, 6
446.6662, -1.040712, -1.348682e-06, , -0.000604733, 1, 6
447.3329, -1.030456, -1.346188e-06, , -0.0006056305, 1, 6
447.9996, -1.020673, -1.343695e-06, , -0.0006065262, 1, 6
448.6662, -1.010575, -1.341045e-06, , -0.0006074203, 1, 6
449.3329, -1.000477, -1.338395e-06, , -0.0006083125, 1, 6
449.9996, -0.9902212, -1.335745e-06, , -0.000609203, 1, 6
450.6662, -0.9805965, -1.333252e-06, , -0.0006100918, 1, 6
451.3329, -0.9703405, -1.33029e-06, , -0.0006109787, 1, 6
451.9995, -0.9605581, -1.327485e-06, , -0.0006118637, 1, 6
452.6662, -0.9506178, -1.324991e-06, , -0.000612747, 1, 6
453.3329, -0.9406775, -1.322029e-06, , -0.0006136284, 1, 6
453.9995, -0.9305794, -1.320003e-06, , -0.0006145084, 1, 6
